ts,equity
2026-01-02T09:30:00.000000000Z,10.5000
2026-01-02T12:00:00.000000000Z,22.2600
2026-01-02T16:30:00.000000000Z,4.2000
2026-01-02T17:15:00.000000000Z,-5.2500
2026-01-02T21:30:00.000000000Z,-0.0000
2026-01-05T01:15:00.000000000Z,18.9000
2026-01-05T07:30:00.000000000Z,0.8400
2026-01-05T14:00:00.000000000Z,-19.7400
2026-01-05T15:25:00.000000000Z,-1.5015
2026-01-05T15:25:00.000000000Z,26.5650
2026-01-05T21:00:00.000000000Z,12.9150
2026-01-06T06:57:00.000000000Z,31.1535
2026-01-06T06:57:00.000000000Z,59.2200
2026-01-06T15:00:00.000000000Z,64.6800
2026-01-06T16:45:00.000000000Z,52.9200
2026-01-06T18:45:00.000000000Z,59.8500
2026-01-07T01:15:00.000000000Z,54.8100
2026-01-07T03:52:00.000000000Z,73.0485
2026-01-07T03:52:00.000000000Z,101.1150
2026-01-07T07:38:00.000000000Z,119.3535
2026-01-07T07:38:00.000000000Z,147.4200
2026-01-07T12:00:00.000000000Z,131.0400
2026-01-07T17:15:00.000000000Z,133.1400
2026-01-08T05:10:00.000000000Z,72.8700
2026-01-08T12:00:00.000000000Z,49.1400
2026-01-08T15:00:00.000000000Z,42.6300
2026-01-08T17:00:00.000000000Z,33.3900
2026-01-08T18:15:00.000000000Z,28.5600
2026-01-08T22:15:00.000000000Z,33.6000
2026-01-09T02:15:00.000000000Z,32.5500
2026-01-09T05:30:00.000000000Z,24.9900
2026-01-09T09:00:00.000000000Z,42.8400
2026-01-12T01:11:00.000000000Z,61.0785
2026-01-12T01:11:00.000000000Z,89.1450
2026-01-12T05:00:00.000000000Z,89.9850
2026-01-12T08:15:00.000000000Z,102.7950
2026-01-13T15:18:00.000000000Z,121.0335
2026-01-13T15:18:00.000000000Z,149.1000
2026-01-13T20:15:00.000000000Z,139.8600
2026-01-13T21:15:00.000000000Z,133.5600
2026-01-13T23:30:00.000000000Z,135.4500
2026-01-14T01:45:00.000000000Z,136.0800
2026-01-14T04:30:00.000000000Z,164.8500
2026-01-14T09:00:00.000000000Z,162.1200
2026-01-14T15:30:00.000000000Z,123.0600
2026-01-14T18:45:00.000000000Z,123.6900
2026-01-14T21:45:00.000000000Z,129.9900
2026-01-15T04:30:00.000000000Z,142.8000
2026-01-15T09:15:00.000000000Z,161.0385
2026-01-15T09:15:00.000000000Z,189.1050
2026-01-15T16:16:00.000000000Z,207.3435
2026-01-15T16:16:00.000000000Z,235.4100
2026-01-15T21:15:00.000000000Z,242.3400
2026-01-16T01:45:00.000000000Z,234.3600
2026-01-16T02:30:00.000000000Z,222.6000
2026-01-16T05:00:00.000000000Z,220.5000
2026-01-16T08:00:00.000000000Z,219.2400
2026-01-16T11:30:00.000000000Z,226.3800
2026-01-16T15:24:00.000000000Z,244.6185
2026-01-16T15:24:00.000000000Z,272.6850
2026-01-18T23:00:00.000000000Z,274.9950
2026-01-19T01:30:00.000000000Z,279.1950
2026-01-19T14:52:00.000000000Z,218.9250
2026-01-19T17:15:00.000000000Z,221.4450
2026-01-19T20:15:00.000000000Z,217.2450
2026-01-20T04:50:00.000000000Z,235.4835
2026-01-20T04:50:00.000000000Z,263.5500
2026-01-20T10:30:00.000000000Z,269.4300
2026-01-20T17:30:00.000000000Z,286.2300
2026-01-20T20:30:00.000000000Z,297.9900
2026-01-20T22:45:00.000000000Z,294.2100
2026-01-21T01:00:00.000000000Z,290.0100
2026-01-21T02:30:00.000000000Z,292.5300
2026-01-21T04:45:00.000000000Z,299.6700
2026-01-21T07:23:00.000000000Z,317.9085
2026-01-21T07:23:00.000000000Z,345.9750
2026-01-21T13:54:00.000000000Z,364.2135
2026-01-21T13:54:00.000000000Z,392.2800
2026-01-21T17:45:00.000000000Z,407.4000
2026-01-22T00:30:00.000000000Z,425.6385
2026-01-22T00:30:00.000000000Z,453.7050
2026-01-22T06:45:00.000000000Z,420.5250
2026-01-22T16:07:00.000000000Z,438.7635
2026-01-22T16:07:00.000000000Z,466.8300
2026-01-23T00:00:00.000000000Z,467.6700
2026-01-23T02:00:00.000000000Z,469.9800
2026-01-23T03:45:00.000000000Z,466.6200
2026-01-23T07:15:00.000000000Z,471.6600
2026-01-23T10:45:00.000000000Z,470.4000
2026-01-23T13:07:00.000000000Z,488.6385
2026-01-23T13:07:00.000000000Z,516.7050
2026-01-23T16:35:00.000000000Z,456.4350
2026-01-25T22:04:00.000000000Z,396.1650
2026-01-26T01:30:00.000000000Z,369.9150
2026-01-27T12:23:00.000000000Z,388.1535
2026-01-27T12:23:00.000000000Z,416.2200
2026-01-27T15:10:00.000000000Z,355.9500
2026-01-27T20:48:00.000000000Z,295.6800
2026-01-28T01:24:00.000000000Z,313.9185
2026-01-28T01:24:00.000000000Z,341.9850
2026-01-28T06:35:00.000000000Z,360.2235
2026-01-28T06:35:00.000000000Z,388.2900
2026-01-28T12:15:00.000000000Z,372.7500
2026-01-28T15:14:00.000000000Z,312.4800
2026-01-28T19:15:00.000000000Z,300.9300
2026-01-28T20:03:00.000000000Z,240.6600
2026-01-29T03:11:00.000000000Z,258.8985
2026-01-29T03:11:00.000000000Z,286.9650
2026-01-29T08:48:00.000000000Z,305.2035
2026-01-29T08:48:00.000000000Z,333.2700
2026-01-29T13:05:00.000000000Z,351.5085
2026-01-29T13:05:00.000000000Z,379.5750
2026-01-29T15:04:00.000000000Z,397.8135
2026-01-29T15:04:00.000000000Z,425.8800
2026-01-29T17:23:00.000000000Z,444.1185
2026-01-29T17:23:00.000000000Z,472.1850
2026-01-30T00:44:00.000000000Z,490.4235
2026-01-30T00:44:00.000000000Z,518.4900
2026-01-30T09:15:00.000000000Z,483.6300
2026-01-30T09:55:00.000000000Z,501.8685
2026-01-30T09:55:00.000000000Z,529.9350
2026-01-30T13:51:00.000000000Z,548.1735
2026-01-30T13:51:00.000000000Z,576.2400
2026-01-30T16:03:00.000000000Z,515.9700
2026-01-30T21:45:00.000000000Z,481.1100
2026-02-01T22:59:00.000000000Z,499.3485
2026-02-01T22:59:00.000000000Z,527.4150
2026-02-02T02:15:00.000000000Z,542.5350
2026-02-02T04:01:00.000000000Z,560.7735
2026-02-02T04:01:00.000000000Z,588.8400
2026-02-02T07:55:00.000000000Z,607.0785
2026-02-02T07:55:00.000000000Z,635.1450
