status,direction,move,hour,dow,ret8,ret4,atr8,atr12,rng8,comp,body_to_range,breakout_up,breakout_dn,prior_disagree
flat,long,41.0,23,6,-23.49999999999963,-12.199999999999989,4.549999999999693,5.408333333333237,26.800000000000157,5.890109890110321,0.4615384615384662,False,True,True
aligned,long,41.6,6,0,-24.699999999999722,-8.899999999999464,10.037500000000115,10.291666666666735,34.19999999999978,3.4072229140721686,0.3648816936488113,False,False,True
opposed_only,long,74.1,2,1,0.40000000000040004,-11.899999999999133,6.262499999999949,5.991666666666506,14.800000000000368,2.3632734530938904,0.5149700598802269,False,True,False
opposed_only,long,44.2,5,1,-16.199999999999548,-1.7999999999995797,11.25000000000001,13.183333333333287,31.70000000000006,2.8177777777777804,0.48333333333334133,False,False,True
flat,long,32.9,14,1,-10.400000000000409,-6.599999999999939,7.787499999999947,7.67499999999995,21.599999999999397,2.773675762439749,0.48314606741570887,False,True,True
aligned,long,32.1,16,3,-19.399999999999416,-4.8000000000003595,15.150000000000023,13.074999999999985,42.300000000000665,2.792079207920832,0.4678217821782132,False,False,True
aligned,long,42.8,0,4,-15.600000000000058,-9.000000000000119,4.637500000000127,5.516666666666818,19.799999999999816,4.269541778975585,0.5283018867923982,False,True,True
opposed_only,long,30.2,12,4,9.199999999999209,1.3999999999991797,5.487500000000284,5.766666666666882,19.799999999999816,3.6082004555806453,0.5079726651480523,False,False,False
flat,long,39.0,13,0,27.099999999999902,15.800000000000258,7.637500000000213,7.4416666666667535,38.79999999999994,5.080196399345186,0.6153846153845958,False,False,False
aligned,long,44.4,0,2,5.3000000000003045,4.699999999999704,3.1499999999999586,3.325000000000041,8.700000000000374,2.761904761904917,0.44444444444449827,True,False,False
flat,long,46.1,15,2,-2.300000000000635,-21.400000000000308,20.33749999999987,15.066666666666654,64.69999999999976,3.1813153042409428,0.4376152427781161,False,False,True
aligned,long,32.6,13,4,-2.6999999999999247,-2.5999999999992696,7.137499999999991,6.55833333333337,14.500000000000624,2.031523642732139,0.3677758318738459,False,False,True
aligned,long,36.8,15,1,-17.199999999999438,-15.999999999999348,12.312499999999755,10.099999999999739,28.49999999999908,2.3147208121827125,0.28426395939085985,False,True,True
aligned,long,32.4,14,3,-10.399999999999299,-15.899999999999803,11.100000000000277,9.441666666666904,30.200000000000227,2.7207207207206734,0.3637387387387246,False,False,True
