window_start,window_end,direction,move_pips,status,overlap_positions,same_dir_positions,opp_dir_positions
2026-02-01T22:00:00+00:00,2026-02-02T00:00:00+00:00,short,32.3,flat,0,0,0
2026-02-01T22:45:00+00:00,2026-02-02T00:45:00+00:00,long,30.0,flat,0,0,0
2026-02-01T23:00:00+00:00,2026-02-02T01:00:00+00:00,long,41.0,flat,0,0,0
2026-02-01T23:15:00+00:00,2026-02-02T01:15:00+00:00,long,39.2,flat,0,0,0
2026-02-02T02:00:00+00:00,2026-02-02T04:00:00+00:00,short,31.6,flat,0,0,0
2026-02-02T02:30:00+00:00,2026-02-02T04:30:00+00:00,short,32.6,flat,0,0,0
2026-02-02T04:30:00+00:00,2026-02-02T06:30:00+00:00,short,32.0,flat,0,0,0
2026-02-02T04:45:00+00:00,2026-02-02T06:45:00+00:00,short,32.2,flat,0,0,0
2026-02-02T06:15:00+00:00,2026-02-02T08:15:00+00:00,long,39.5,aligned,1,1,0
2026-02-02T06:30:00+00:00,2026-02-02T08:30:00+00:00,long,41.6,aligned,1,1,0
2026-02-02T06:45:00+00:00,2026-02-02T08:45:00+00:00,long,36.3,aligned,1,1,0
2026-02-02T07:00:00+00:00,2026-02-02T09:00:00+00:00,long,32.9,aligned,1,1,0
2026-02-03T01:30:00+00:00,2026-02-03T03:30:00+00:00,long,37.0,aligned,2,1,1
2026-02-03T01:45:00+00:00,2026-02-03T03:45:00+00:00,long,48.7,aligned,2,1,1
2026-02-03T02:00:00+00:00,2026-02-03T04:00:00+00:00,long,63.5,opposed_only,1,0,1
2026-02-03T02:15:00+00:00,2026-02-03T04:15:00+00:00,long,68.1,opposed_only,1,0,1
2026-02-03T02:30:00+00:00,2026-02-03T04:30:00+00:00,long,74.1,opposed_only,1,0,1
2026-02-03T02:45:00+00:00,2026-02-03T04:45:00+00:00,long,72.1,opposed_only,1,0,1
2026-02-03T03:00:00+00:00,2026-02-03T05:00:00+00:00,long,72.5,opposed_only,1,0,1
2026-02-03T03:15:00+00:00,2026-02-03T05:15:00+00:00,long,68.3,opposed_only,2,0,2
2026-02-03T05:30:00+00:00,2026-02-03T07:30:00+00:00,long,43.2,opposed_only,1,0,1
2026-02-03T05:45:00+00:00,2026-02-03T07:45:00+00:00,long,44.2,opposed_only,1,0,1
2026-02-03T06:00:00+00:00,2026-02-03T08:00:00+00:00,long,37.4,opposed_only,1,0,1
2026-02-03T06:15:00+00:00,2026-02-03T08:15:00+00:00,long,31.3,opposed_only,1,0,1
2026-02-03T06:30:00+00:00,2026-02-03T08:30:00+00:00,long,32.5,opposed_only,1,0,1
2026-02-03T06:45:00+00:00,2026-02-03T08:45:00+00:00,long,32.3,opposed_only,1,0,1
2026-02-03T07:30:00+00:00,2026-02-03T09:30:00+00:00,short,41.7,aligned,2,2,0
2026-02-03T07:45:00+00:00,2026-02-03T09:45:00+00:00,short,38.0,aligned,1,1,0
2026-02-03T08:00:00+00:00,2026-02-03T10:00:00+00:00,short,33.0,aligned,1,1,0
2026-02-03T08:15:00+00:00,2026-02-03T10:15:00+00:00,short,31.4,aligned,1,1,0
2026-02-03T08:30:00+00:00,2026-02-03T10:30:00+00:00,short,31.4,aligned,1,1,0
2026-02-03T13:00:00+00:00,2026-02-03T15:00:00+00:00,short,33.6,flat,0,0,0
2026-02-03T13:30:00+00:00,2026-02-03T15:30:00+00:00,short,30.2,flat,0,0,0
2026-02-03T14:45:00+00:00,2026-02-03T16:45:00+00:00,long,32.9,flat,0,0,0
2026-02-03T15:00:00+00:00,2026-02-03T17:00:00+00:00,long,32.6,flat,0,0,0
2026-02-04T13:45:00+00:00,2026-02-04T15:45:00+00:00,short,36.3,aligned,2,1,1
2026-02-04T14:00:00+00:00,2026-02-04T16:00:00+00:00,short,33.6,aligned,2,1,1
2026-02-04T14:15:00+00:00,2026-02-04T16:15:00+00:00,short,43.2,aligned,2,1,1
2026-02-04T14:30:00+00:00,2026-02-04T16:30:00+00:00,short,37.2,aligned,1,1,0
2026-02-04T14:45:00+00:00,2026-02-04T16:45:00+00:00,short,32.4,aligned,1,1,0
2026-02-04T15:00:00+00:00,2026-02-04T17:00:00+00:00,short,38.2,aligned,1,1,0
2026-02-04T15:15:00+00:00,2026-02-04T17:15:00+00:00,short,33.0,aligned,2,1,1
2026-02-04T15:30:00+00:00,2026-02-04T17:30:00+00:00,short,37.0,aligned,2,1,1
2026-02-04T17:00:00+00:00,2026-02-04T19:00:00+00:00,short,30.0,opposed_only,1,0,1
2026-02-05T00:15:00+00:00,2026-02-05T02:15:00+00:00,short,44.4,aligned,1,1,0
2026-02-05T00:30:00+00:00,2026-02-05T02:30:00+00:00,short,47.8,aligned,1,1,0
2026-02-05T00:45:00+00:00,2026-02-05T02:45:00+00:00,short,45.2,aligned,1,1,0
2026-02-05T01:00:00+00:00,2026-02-05T03:00:00+00:00,short,45.8,aligned,1,1,0
2026-02-05T01:15:00+00:00,2026-02-05T03:15:00+00:00,short,39.8,aligned,1,1,0
2026-02-05T01:30:00+00:00,2026-02-05T03:30:00+00:00,short,41.0,aligned,1,1,0
2026-02-05T01:45:00+00:00,2026-02-05T03:45:00+00:00,short,38.8,aligned,1,1,0
2026-02-05T14:00:00+00:00,2026-02-05T16:00:00+00:00,short,32.0,aligned,2,1,1
2026-02-05T14:30:00+00:00,2026-02-05T16:30:00+00:00,short,37.8,opposed_only,2,0,2
2026-02-05T16:00:00+00:00,2026-02-05T18:00:00+00:00,long,32.1,aligned,1,1,0
2026-02-05T19:00:00+00:00,2026-02-05T21:00:00+00:00,short,32.2,opposed_only,1,0,1
2026-02-05T19:15:00+00:00,2026-02-05T21:15:00+00:00,short,31.7,opposed_only,1,0,1
2026-02-05T19:30:00+00:00,2026-02-05T21:30:00+00:00,short,33.0,opposed_only,1,0,1
2026-02-05T19:45:00+00:00,2026-02-05T21:45:00+00:00,short,32.4,opposed_only,1,0,1
2026-02-05T20:00:00+00:00,2026-02-05T22:00:00+00:00,short,36.6,opposed_only,1,0,1
2026-02-05T22:15:00+00:00,2026-02-06T00:15:00+00:00,short,31.3,flat,0,0,0
2026-02-05T22:30:00+00:00,2026-02-06T00:30:00+00:00,short,32.2,flat,0,0,0
2026-02-05T22:45:00+00:00,2026-02-06T00:45:00+00:00,short,31.9,opposed_only,1,0,1
2026-02-06T00:00:00+00:00,2026-02-06T02:00:00+00:00,long,42.8,aligned,1,1,0
2026-02-06T00:15:00+00:00,2026-02-06T02:15:00+00:00,long,33.1,aligned,1,1,0
2026-02-06T01:15:00+00:00,2026-02-06T03:15:00+00:00,long,30.4,aligned,2,1,1
2026-02-06T12:30:00+00:00,2026-02-06T14:30:00+00:00,long,30.2,opposed_only,1,0,1
2026-02-09T09:15:00+00:00,2026-02-09T11:15:00+00:00,short,30.6,aligned,1,1,0
2026-02-09T10:30:00+00:00,2026-02-09T12:30:00+00:00,long,32.2,aligned,2,1,1
2026-02-09T11:00:00+00:00,2026-02-09T13:00:00+00:00,long,35.9,aligned,2,1,1
2026-02-09T11:15:00+00:00,2026-02-09T13:15:00+00:00,long,38.0,aligned,2,1,1
2026-02-09T11:30:00+00:00,2026-02-09T13:30:00+00:00,long,30.6,aligned,1,1,0
2026-02-09T12:30:00+00:00,2026-02-09T14:30:00+00:00,long,34.3,aligned,1,1,0
2026-02-09T12:45:00+00:00,2026-02-09T14:45:00+00:00,long,32.2,aligned,1,1,0
2026-02-09T13:30:00+00:00,2026-02-09T15:30:00+00:00,long,39.0,flat,0,0,0
2026-02-09T13:45:00+00:00,2026-02-09T15:45:00+00:00,long,35.9,flat,0,0,0
2026-02-11T00:15:00+00:00,2026-02-11T02:15:00+00:00,long,36.0,aligned,1,1,0
2026-02-11T00:30:00+00:00,2026-02-11T02:30:00+00:00,long,44.4,aligned,1,1,0
2026-02-11T00:45:00+00:00,2026-02-11T02:45:00+00:00,long,43.2,aligned,1,1,0
2026-02-11T01:00:00+00:00,2026-02-11T03:00:00+00:00,long,37.3,aligned,1,1,0
2026-02-11T01:15:00+00:00,2026-02-11T03:15:00+00:00,long,39.2,aligned,1,1,0
2026-02-11T01:30:00+00:00,2026-02-11T03:30:00+00:00,long,31.6,aligned,1,1,0
2026-02-11T01:45:00+00:00,2026-02-11T03:45:00+00:00,long,32.7,flat,0,0,0
2026-02-11T02:00:00+00:00,2026-02-11T04:00:00+00:00,long,30.5,flat,0,0,0
