window_start,window_end,direction,move_pips,status,overlap_positions,same_dir_positions,opp_dir_positions
2026-02-01T23:00:00+00:00,2026-02-02T01:00:00+00:00,long,41.0,flat,0,0,0
2026-02-02T06:30:00+00:00,2026-02-02T08:30:00+00:00,long,41.6,aligned,1,1,0
2026-02-03T02:30:00+00:00,2026-02-03T04:30:00+00:00,long,74.1,opposed_only,1,0,1
2026-02-03T05:45:00+00:00,2026-02-03T07:45:00+00:00,long,44.2,opposed_only,1,0,1
2026-02-03T14:45:00+00:00,2026-02-03T16:45:00+00:00,long,32.9,flat,0,0,0
2026-02-05T16:00:00+00:00,2026-02-05T18:00:00+00:00,long,32.1,aligned,1,1,0
2026-02-06T00:00:00+00:00,2026-02-06T02:00:00+00:00,long,42.8,aligned,1,1,0
2026-02-06T12:30:00+00:00,2026-02-06T14:30:00+00:00,long,30.2,opposed_only,1,0,1
2026-02-09T13:30:00+00:00,2026-02-09T15:30:00+00:00,long,39.0,flat,0,0,0
2026-02-11T00:30:00+00:00,2026-02-11T02:30:00+00:00,long,44.4,aligned,1,1,0
2026-02-11T15:30:00+00:00,2026-02-11T17:30:00+00:00,long,46.1,flat,0,0,0
2026-02-13T13:15:00+00:00,2026-02-13T15:15:00+00:00,long,32.6,aligned,1,1,0
2026-02-17T15:15:00+00:00,2026-02-17T17:15:00+00:00,long,36.8,aligned,1,1,0
2026-02-19T14:45:00+00:00,2026-02-19T16:45:00+00:00,long,32.4,aligned,1,1,0
2026-02-20T14:00:00+00:00,2026-02-20T16:00:00+00:00,long,50.1,aligned,1,1,0
2026-02-20T17:15:00+00:00,2026-02-20T19:15:00+00:00,long,30.0,opposed_only,1,0,1
2026-02-22T22:45:00+00:00,2026-02-23T00:45:00+00:00,long,30.9,opposed_only,2,0,2
2026-02-24T14:00:00+00:00,2026-02-24T16:00:00+00:00,long,36.9,aligned,1,1,0
2026-02-26T17:45:00+00:00,2026-02-26T19:45:00+00:00,long,33.1,aligned,1,1,0
2026-02-27T13:30:00+00:00,2026-02-27T15:30:00+00:00,long,38.0,opposed_only,1,0,1
2026-03-01T23:45:00+00:00,2026-03-02T01:45:00+00:00,long,53.2,flat,0,0,0
2026-03-02T08:15:00+00:00,2026-03-02T10:15:00+00:00,long,51.0,aligned,1,1,0
2026-03-02T14:15:00+00:00,2026-03-02T16:15:00+00:00,long,30.6,aligned,1,1,0
2026-03-02T17:30:00+00:00,2026-03-02T19:30:00+00:00,long,32.9,aligned,1,1,0
2026-03-03T11:15:00+00:00,2026-03-03T13:15:00+00:00,long,32.2,aligned,1,1,0
2026-03-03T15:00:00+00:00,2026-03-03T17:00:00+00:00,long,75.6,aligned,1,1,0
2026-03-04T08:45:00+00:00,2026-03-04T10:45:00+00:00,long,53.3,opposed_only,1,0,1
2026-03-04T15:00:00+00:00,2026-03-04T17:00:00+00:00,long,30.8,aligned,2,1,1
2026-03-05T08:15:00+00:00,2026-03-05T10:15:00+00:00,long,58.8,aligned,1,1,0
2026-03-05T19:45:00+00:00,2026-03-05T21:45:00+00:00,long,33.0,aligned,1,1,0
2026-03-06T14:30:00+00:00,2026-03-06T16:30:00+00:00,long,41.4,flat,0,0,0
2026-03-09T03:30:00+00:00,2026-03-09T05:30:00+00:00,long,37.0,flat,0,0,0
2026-03-09T08:15:00+00:00,2026-03-09T10:15:00+00:00,long,51.4,aligned,2,1,1
2026-03-09T12:45:00+00:00,2026-03-09T14:45:00+00:00,long,32.8,opposed_only,1,0,1
