rank,start_ts,end_ts,direction,move_pips,start_close,extreme
1,2026-01-29T14:46:00Z,2026-01-29T16:16:00Z,DOWN,105.4,0.70742,0.69688
2,2026-02-03T02:50:00Z,2026-02-03T04:20:00Z,UP,76.0,0.69575,0.70335
3,2026-03-03T14:08:00Z,2026-03-03T15:38:00Z,DOWN,71.6,0.7016,0.69444
4,2026-03-04T09:07:00Z,2026-03-04T10:37:00Z,UP,61.1,0.70124,0.70735
5,2026-03-05T15:00:00Z,2026-03-05T16:30:00Z,DOWN,60.8,0.70448,0.6984
6,2026-03-02T00:00:00Z,2026-03-02T01:30:00Z,UP,56.0,0.70533,0.71093
7,2026-01-30T00:56:00Z,2026-01-30T02:26:00Z,DOWN,54.9,0.70323,0.69774
8,2026-03-03T23:56:00Z,2026-03-04T01:26:00Z,DOWN,52.9,0.70417,0.69888
9,2026-01-30T16:58:00Z,2026-01-30T18:28:00Z,DOWN,51.3,0.69945,0.69432
10,2026-02-12T15:59:00Z,2026-02-12T17:29:00Z,DOWN,49.4,0.71336,0.70842
11,2026-02-05T01:08:00Z,2026-02-05T02:38:00Z,DOWN,49.2,0.70074,0.69582
12,2026-02-20T14:15:00Z,2026-02-20T15:45:00Z,UP,48.4,0.70404,0.70888
13,2026-01-29T02:40:00Z,2026-01-29T04:10:00Z,UP,47.8,0.70362,0.7084
14,2026-03-02T08:38:00Z,2026-03-02T10:08:00Z,UP,45.8,0.7046,0.70918
15,2026-03-09T09:06:00Z,2026-03-09T10:36:00Z,UP,45.3,0.69883,0.70336
