rank,start_ts,end_ts,direction,move_pips,bars_in_window,flat_bars,in_position_bars,bars_with_intent,entry_actions_seen,primary_reason,reason_counts
1,2026-01-29T14:46:00Z,2026-01-29T16:16:00Z,DOWN,105.4,6,5,1,1,0,no_intent,"{""no_intent"": 4, ""stoch_filter"": 1}"
2,2026-02-03T02:50:00Z,2026-02-03T04:20:00Z,UP,76.0,6,3,3,0,0,no_intent,"{""no_intent"": 3}"
3,2026-03-03T14:08:00Z,2026-03-03T15:38:00Z,DOWN,71.6,6,6,0,0,0,no_intent,"{""no_intent"": 6}"
4,2026-03-04T09:07:00Z,2026-03-04T10:37:00Z,UP,61.1,6,2,4,1,0,no_intent,"{""no_intent"": 4, ""stoch_filter"": 1}"
5,2026-03-05T15:00:00Z,2026-03-05T16:30:00Z,DOWN,60.8,7,4,3,2,0,no_intent,"{""no_intent"": 4, ""stoch_filter"": 2}"
6,2026-03-02T00:00:00Z,2026-03-02T01:30:00Z,UP,56.0,7,2,5,2,0,no_intent,"{""no_intent"": 4, ""stoch_filter"": 2}"
7,2026-01-30T00:56:00Z,2026-01-30T02:26:00Z,DOWN,54.9,6,6,0,0,0,no_intent,"{""no_intent"": 6}"
8,2026-03-03T23:56:00Z,2026-03-04T01:26:00Z,DOWN,52.9,6,3,3,1,0,no_intent,"{""no_intent"": 4, ""stoch_filter"": 1}"
9,2026-01-30T16:58:00Z,2026-01-30T18:28:00Z,DOWN,51.3,6,6,0,1,0,no_intent,"{""no_intent"": 5, ""stoch_filter"": 1}"
10,2026-02-12T15:59:00Z,2026-02-12T17:29:00Z,DOWN,49.4,6,5,1,1,0,no_intent,"{""no_intent"": 4, ""stoch_filter"": 1}"
11,2026-02-05T01:08:00Z,2026-02-05T02:38:00Z,DOWN,49.2,6,1,5,1,0,no_intent,"{""no_intent"": 3}"
12,2026-02-20T14:15:00Z,2026-02-20T15:45:00Z,UP,48.4,7,3,4,1,0,no_intent,"{""no_intent"": 5, ""stoch_filter"": 1}"
13,2026-01-29T02:40:00Z,2026-01-29T04:10:00Z,UP,47.8,6,4,2,0,0,no_intent,"{""no_intent"": 5}"
14,2026-03-02T08:38:00Z,2026-03-02T10:08:00Z,UP,45.8,6,4,2,0,0,no_intent,"{""no_intent"": 5}"
15,2026-03-09T09:06:00Z,2026-03-09T10:36:00Z,UP,45.3,6,4,2,0,0,no_intent,"{""no_intent"": 5}"
