start_ts,end_ts,direction,move_pips,missed,no_intent_window,hour,weekday,sum_volume_m1,avg_volume_m1
2026-01-05T12:35:00Z,2026-01-05T14:05:00Z,DOWN,23.4,1,0,12,0,5863,65.1444
2026-01-06T23:02:00Z,2026-01-07T00:32:00Z,DOWN,23.7,1,0,23,1,3216,35.7333
2026-01-07T14:46:00Z,2026-01-07T16:16:00Z,DOWN,23.0,1,0,14,2,8649,96.1
2026-01-09T13:44:00Z,2026-01-09T15:14:00Z,DOWN,39.2,1,0,13,4,13513,150.1444
2026-01-13T14:25:00Z,2026-01-13T15:55:00Z,DOWN,35.6,1,0,14,1,10051,111.6778
2026-01-15T12:35:00Z,2026-01-15T14:05:00Z,DOWN,21.5,0,0,12,3,5174,57.4889
2026-01-16T15:16:00Z,2026-01-16T16:46:00Z,DOWN,23.9,1,0,15,4,10503,116.7
2026-01-20T08:18:00Z,2026-01-20T09:48:00Z,DOWN,22.4,1,0,8,1,8474,94.1556
2026-01-21T16:11:00Z,2026-01-21T17:41:00Z,DOWN,21.3,1,0,16,2,8871,98.5667
2026-01-25T22:59:00Z,2026-01-26T00:29:00Z,DOWN,26.0,0,0,22,6,6205,68.9444
2026-01-26T18:20:00Z,2026-01-26T19:50:00Z,DOWN,21.0,1,0,18,0,5141,57.1222
2026-01-27T07:50:00Z,2026-01-27T09:20:00Z,DOWN,20.6,1,0,7,1,4384,48.7111
2026-01-27T22:35:00Z,2026-01-28T00:05:00Z,DOWN,20.6,1,0,22,1,2686,29.8444
2026-01-28T00:32:00Z,2026-01-28T02:02:00Z,DOWN,39.0,1,0,0,2,13524,150.2667
2026-01-28T07:25:00Z,2026-01-28T08:55:00Z,DOWN,24.8,1,0,7,2,8256,91.7333
2026-01-28T14:50:00Z,2026-01-28T16:20:00Z,DOWN,31.1,0,0,14,2,17805,197.8333
2026-01-28T17:57:00Z,2026-01-28T19:27:00Z,DOWN,23.4,0,0,17,2,9889,109.8778
2026-01-29T00:33:00Z,2026-01-29T02:03:00Z,DOWN,26.6,1,1,0,3,8058,89.5333
2026-01-29T09:40:00Z,2026-01-29T11:10:00Z,DOWN,40.8,1,0,9,3,6654,73.9333
2026-01-29T14:32:00Z,2026-01-29T16:02:00Z,DOWN,112.4,0,0,14,3,40980,455.3333
2026-01-29T17:36:00Z,2026-01-29T19:06:00Z,DOWN,23.4,1,0,17,3,12746,141.6222
