window_start,direction,move_pips,status,active_long,active_short,last_entry_side_2h,last_entry_age_min,ret8_pips,atr8_pips,range8_pips,hour_utc,dow
2026-02-27T20:15:00+00:00,short,76.7,opposed_only,1,0,long,15.0,5.0,4.2,9.6,20,4
2026-03-03T13:00:00+00:00,short,75.8,opposed_only,1,0,long,75.0,15.0,13.6,38.0,13,1
2026-02-03T02:30:00+00:00,long,74.1,opposed_only,0,1,short,30.0,0.4,6.3,14.8,2,1
2026-03-10T05:30:00+00:00,long,56.0,flat,0,0,,,6.7,5.2,11.9,5,1
2026-03-04T08:45:00+00:00,long,53.3,opposed_only,0,1,short,30.0,5.1,10.7,27.7,8,2
2026-03-01T23:45:00+00:00,long,53.2,flat,0,0,,,-49.6,12.7,73.8,23,6
2026-03-05T14:45:00+00:00,short,53.0,opposed_only,0,0,,,-32.8,11.6,35.2,14,3
2026-03-03T07:15:00+00:00,short,51.7,opposed_only,1,0,long,15.0,-11.6,10.3,30.2,7,1
2026-02-11T15:30:00+00:00,long,46.1,flat,0,0,long,105.0,-2.3,20.3,64.7,15,2
2026-03-11T00:45:00+00:00,long,44.8,flat,0,0,,,17.0,6.3,24.2,0,2
2026-03-09T17:45:00+00:00,long,44.5,opposed_only,0,1,short,45.0,-8.7,7.8,23.2,17,0
2026-02-03T05:45:00+00:00,long,44.2,opposed_only,0,1,short,45.0,-16.2,11.3,31.7,5,1
2026-03-06T14:30:00+00:00,long,41.4,flat,0,0,,,-16.1,15.6,50.6,14,4
2026-02-01T23:00:00+00:00,long,41.0,flat,0,0,,,-23.5,4.5,26.8,23,6
2026-03-10T14:00:00+00:00,long,40.2,flat,0,0,,,2.6,10.6,22.1,14,1
2026-02-09T13:30:00+00:00,long,39.0,flat,0,0,long,120.0,27.1,7.6,38.8,13,0
2026-02-27T13:30:00+00:00,long,38.0,opposed_only,0,0,,,1.0,5.8,13.2,13,4
2026-02-05T14:30:00+00:00,short,37.8,opposed_only,0,0,,,2.0,9.6,18.4,14,3
2026-03-06T13:30:00+00:00,short,37.4,opposed_only,1,0,,,11.9,10.7,25.2,13,4
2026-03-09T03:30:00+00:00,long,37.0,flat,0,0,long,120.0,17.3,12.6,37.8,3,0
2026-02-05T20:00:00+00:00,short,36.6,opposed_only,1,0,,,-8.5,6.7,18.0,20,3
2026-03-05T06:45:00+00:00,short,35.6,opposed_only,0,0,,,-18.5,7.7,28.0,6,3
2026-03-02T05:15:00+00:00,short,35.5,flat,0,0,short,90.0,-30.9,7.9,32.3,5,0
2026-02-03T13:00:00+00:00,short,33.6,flat,0,0,,,6.0,7.1,16.8,13,1
2026-02-03T14:45:00+00:00,long,32.9,flat,0,0,,,-10.4,7.8,21.6,14,1
2026-03-09T12:45:00+00:00,long,32.8,opposed_only,0,1,short,75.0,-2.6,9.4,18.4,12,0
2026-02-02T02:30:00+00:00,short,32.6,flat,0,0,,,-8.2,11.6,29.4,2,0
2026-02-01T22:00:00+00:00,short,32.3,flat,0,0,,,-2.3,5.7,12.4,22,6
2026-02-05T22:30:00+00:00,short,32.2,flat,0,0,,,-20.5,6.6,30.4,22,3
2026-03-02T15:00:00+00:00,short,31.2,opposed_only,1,0,long,30.0,16.0,12.3,31.9,15,0
2026-02-22T22:45:00+00:00,long,30.9,opposed_only,0,1,,,2.8,4.7,12.6,22,6
2026-02-06T12:30:00+00:00,long,30.2,opposed_only,0,0,,,9.2,5.5,19.8,12,4
2026-02-20T17:15:00+00:00,long,30.0,opposed_only,0,1,short,15.0,-6.7,14.3,25.5,17,4
