source_file,entry_ts,exit_ts,side,realized_pips_weighted,realized_pnl_usd,extra_pips_2h,potential_total_pips_2h
backtest_trades_AUD_USD_M15_20260215.csv,2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,19.3,1.93,71.4,90.7
backtest_trades_AUD_USD_M15_20260216.csv,2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,19.3,13.51,71.4,90.7
backtest_trades_AUD_USD_M15_20260218.csv,2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,22.04,0.5292,71.4,93.44
backtest_trades_AUD_USD_M15_20260220.csv,2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,22.04,0.5292,71.4,93.44
backtest_trades_AUD_USD_M15_20260224.csv,2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,22.15,2.215,71.4,93.55
backtest_trades_AUD_USD_M15_20260224_new_guards.csv,2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,22.15,2.215,71.4,93.55
backtest_trades_AUD_USD_M15_20260310.csv,2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,22.04,46.305,71.4,93.44
backtest_trades_AUD_USD_M15_20260311.csv,2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,22.04,46.305,71.4,93.44
backtest_trades_AUD_USD_M15_20260317.csv,2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,20.7,43.47,71.4,92.1
backtest_trades_AUD_USD_M15_20260318.csv,2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,20.7,43.47,71.4,92.1
backtest_trades_AUD_USD_M15_20260316.csv,2026-02-02T14:30:00+00:00,2026-02-03T02:15:00+00:00,LONG,2.6,5.46,68.8,71.4
backtest_trades_AUD_USD_M15_20260207.csv,2026-02-02T22:45:00+00:00,2026-02-03T02:30:00+00:00,LONG,20.0,2.0,64.7,84.7
backtest_trades_AUD_USD_M15_20260208.csv,2026-02-02T22:30:00+00:00,2026-02-03T02:07:00+00:00,LONG,20.7,14.49,63.0,83.7
backtest_trades_AUD_USD_M15_20260215.csv,2026-02-02T14:30:00+00:00,2026-02-03T02:00:00+00:00,LONG,7.2,0.72,56.9,64.1
backtest_trades_AUD_USD_M15_20260216.csv,2026-02-02T14:30:00+00:00,2026-02-03T02:00:00+00:00,LONG,7.2,5.04,56.9,64.1
