entry_ts,exit_ts,side,realized_pips_weighted,extra_pips_2h,potential_total_pips_2h,realized_pnl_usd,seen_in_backtests,example_source
2026-01-29T14:45:00+00:00,2026-01-29T15:04:00+00:00,SHORT,19.3,71.4,90.7,1.93,10,backtest_trades_AUD_USD_M15_20260215.csv
2026-02-02T14:30:00+00:00,2026-02-03T02:15:00+00:00,LONG,2.6,68.8,71.4,5.46,1,backtest_trades_AUD_USD_M15_20260316.csv
2026-02-02T22:45:00+00:00,2026-02-03T02:30:00+00:00,LONG,20.0,64.7,84.7,2.0,1,backtest_trades_AUD_USD_M15_20260207.csv
2026-02-02T22:30:00+00:00,2026-02-03T02:07:00+00:00,LONG,20.7,63.0,83.7,14.49,1,backtest_trades_AUD_USD_M15_20260208.csv
2026-02-02T14:30:00+00:00,2026-02-03T02:00:00+00:00,LONG,7.2,56.9,64.1,0.72,12,backtest_trades_AUD_USD_M15_20260215.csv
2026-01-29T22:45:00+00:00,2026-01-30T00:44:00+00:00,SHORT,19.3,53.0,72.3,13.51,1,backtest_trades_AUD_USD_M15_20260216.csv
2026-02-02T14:30:00+00:00,2026-02-03T03:30:00+00:00,LONG,22.15,52.1,74.25,2.215,4,backtest_trades_AUD_USD_M15_20260224.csv
2026-01-29T23:00:00+00:00,2026-01-30T01:00:00+00:00,SHORT,19.3,49.2,68.5,1.93,1,backtest_trades_AUD_USD_M15_20260215.csv
2026-01-30T15:45:00+00:00,2026-01-30T17:09:00+00:00,SHORT,20.7,45.0,65.7,14.49,1,backtest_trades_AUD_USD_M15_20260208.csv
2026-03-03T00:00:00+00:00,2026-03-03T07:00:00+00:00,SHORT,0.3,44.7,45.0,0.63,1,backtest_trades_AUD_USD_M15_20260316.csv
2026-02-03T03:15:00+00:00,2026-02-03T03:31:00+00:00,LONG,20.7,43.3,64.0,14.49,1,backtest_trades_AUD_USD_M15_20260208.csv
2026-02-11T11:30:00+00:00,2026-02-11T12:02:00+00:00,SHORT,1.3,40.5,41.8,2.73,1,backtest_trades_AUD_USD_M15_20260310.csv
2026-03-05T10:30:00+00:00,2026-03-05T14:39:00+00:00,SHORT,19.36,38.6,57.96,15.48,9,backtest_trades_AUD_USD_M15_20260306.csv
2026-01-29T23:00:00+00:00,2026-01-29T23:30:00+00:00,SHORT,1.2,38.4,39.6,0.12,1,backtest_trades_AUD_USD_M15_20260207.csv
