entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_usd,mae_pips,equity,hold_bars
2026-01-28T02:30:00.000000000Z,2026-01-28T02:30:00.000000000Z,LONG,1000.00,0.00,0.69894,0.69894,ENTRY,ENTRY,0.00,0.0000,0.00,0.0000,0
2026-01-28T02:30:00.000000000Z,2026-01-28T03:45:00.000000000Z,LONG,1000.00,1000.00,0.69894,0.69907,EXIT,FLIP,1.30,0.1300,-1.00,0.1300,5
2026-01-28T03:45:00.000000000Z,2026-01-28T03:45:00.000000000Z,SHORT,1000.00,0.00,0.69907,0.69907,ENTRY,FLIP_ENTRY,0.00,0.0000,0.00,0.1300,0
2026-01-28T03:45:00.000000000Z,2026-01-28T05:00:00.000000000Z,SHORT,1000.00,1000.00,0.69907,0.69943,EXIT,FLIP,-3.60,-0.3600,-3.90,-0.2300,5
2026-01-28T05:00:00.000000000Z,2026-01-28T05:00:00.000000000Z,LONG,1000.00,0.00,0.69943,0.69943,ENTRY,FLIP_ENTRY,0.00,0.0000,0.00,-0.2300,0
2026-01-28T05:00:00.000000000Z,2026-01-28T06:45:00.000000000Z,LONG,1000.00,1000.00,0.69943,0.70014,EXIT,FLIP,7.10,0.7100,-7.70,0.4800,7
2026-01-28T06:45:00.000000000Z,2026-01-28T06:45:00.000000000Z,SHORT,1000.00,0.00,0.70014,0.70014,ENTRY,FLIP_ENTRY,0.00,0.0000,0.00,0.4800,0
2026-01-28T06:45:00.000000000Z,2026-01-28T07:15:00.000000000Z,SHORT,1000.00,1000.00,0.70014,0.70168,EXIT,FLIP,-15.40,-1.5400,-15.80,-1.0600,2
2026-01-28T07:15:00.000000000Z,2026-01-28T07:15:00.000000000Z,LONG,1000.00,0.00,0.70168,0.70168,ENTRY,FLIP_ENTRY,0.00,0.0000,0.00,-1.0600,0
2026-01-28T07:15:00.000000000Z,2026-01-28T07:45:00.000000000Z,LONG,1000.00,1000.00,0.70168,0.70027,EXIT,FLIP,-14.10,-1.4100,-18.00,-2.4700,2
2026-01-28T07:45:00.000000000Z,2026-01-28T07:45:00.000000000Z,SHORT,1000.00,0.00,0.70027,0.70027,ENTRY,FLIP_ENTRY,0.00,0.0000,0.00,-2.4700,0
2026-01-28T07:45:00.000000000Z,2026-01-28T08:30:00.000000000Z,SHORT,1000.00,1000.00,0.70027,0.70098,EXIT,FLIP,-7.10,-0.7100,-8.00,-3.1800,3
2026-01-28T08:30:00.000000000Z,2026-01-28T08:30:00.000000000Z,LONG,1000.00,0.00,0.70098,0.70098,ENTRY,FLIP_ENTRY,0.00,0.0000,0.00,-3.1800,0
2026-01-28T08:30:00.000000000Z,2026-01-28T08:45:00.000000000Z,LONG,1000.00,1000.00,0.70098,0.70004,EXIT,FLIP,-9.40,-0.9400,-9.00,-4.1200,1
