entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-01-26T05:15:00.000000000Z,2026-01-26T05:15:00.000000000Z,LONG,1000.00,0.00,0.69176,0.69176,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-01-26T05:15:00.000000000Z,2026-01-26T10:45:00.000000000Z,LONG,1000.00,1000.00,0.69176,0.69208,EXIT,FLIP,3.20,3.20,0.3200,-9.10,0.3200,22
2026-01-26T10:45:00.000000000Z,2026-01-26T10:45:00.000000000Z,SHORT,1000.00,0.00,0.69208,0.69208,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,0.3200,0
2026-01-26T10:45:00.000000000Z,2026-01-26T13:45:00.000000000Z,SHORT,1000.00,1000.00,0.69208,0.69182,EXIT,FLIP,2.60,2.60,0.2600,-5.60,0.5800,12
2026-01-26T13:45:00.000000000Z,2026-01-26T13:45:00.000000000Z,LONG,1000.00,0.00,0.69182,0.69182,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,0.5800,0
2026-01-26T13:45:00.000000000Z,2026-01-26T14:58:00.000000000Z,LONG,1000.00,450.00,0.69182,0.69376,TP1,TP1,19.40,8.73,0.8730,-3.20,1.4530,3
2026-01-26T13:45:00.000000000Z,2026-01-26T14:58:00.000000000Z,LONG,1000.00,550.00,0.69182,0.69426,RUNNER,RUNNER_STOP,24.40,13.42,1.3420,-3.20,2.7950,3
2026-01-26T16:00:00.000000000Z,2026-01-26T16:00:00.000000000Z,SHORT,1000.00,0.00,0.69318,0.69318,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,2.7950,0
2026-01-26T16:00:00.000000000Z,2026-01-26T22:39:00.000000000Z,SHORT,1000.00,450.00,0.69318,0.69124,TP1,TP1,19.40,8.73,0.8730,-9.20,3.6680,25
2026-01-26T16:00:00.000000000Z,2026-01-26T22:39:00.000000000Z,SHORT,1000.00,550.00,0.69318,0.69074,RUNNER,RUNNER_STOP,24.40,13.42,1.3420,-9.20,5.0100,25
2026-01-27T01:30:00.000000000Z,2026-01-27T01:30:00.000000000Z,LONG,1000.00,0.00,0.69156,0.69156,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,5.0100,0
2026-01-27T01:30:00.000000000Z,2026-01-27T03:00:00.000000000Z,LONG,1000.00,1000.00,0.69156,0.69174,EXIT,FLIP,1.80,1.80,0.1800,-2.00,5.1900,6
2026-01-27T03:00:00.000000000Z,2026-01-27T03:00:00.000000000Z,SHORT,1000.00,0.00,0.69174,0.69174,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,5.1900,0
2026-01-27T03:00:00.000000000Z,2026-01-27T09:15:00.000000000Z,SHORT,1000.00,1000.00,0.69174,0.69152,EXIT,FLIP,2.20,2.20,0.2200,-5.10,5.4100,25
2026-01-27T09:15:00.000000000Z,2026-01-27T09:15:00.000000000Z,LONG,1000.00,0.00,0.69152,0.69152,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,5.4100,0
2026-01-27T09:15:00.000000000Z,2026-01-27T12:10:00.000000000Z,LONG,1000.00,450.00,0.69152,0.69346,TP1,TP1,19.40,8.73,0.8730,-1.10,6.2830,10
2026-01-27T09:15:00.000000000Z,2026-01-27T12:10:00.000000000Z,LONG,1000.00,550.00,0.69152,0.69396,RUNNER,RUNNER_STOP,24.40,13.42,1.3420,-1.10,7.6250,10
2026-01-27T13:15:00.000000000Z,2026-01-27T13:15:00.000000000Z,SHORT,1000.00,0.00,0.69405,0.69405,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,7.6250,0
2026-01-27T13:15:00.000000000Z,2026-01-27T15:10:00.000000000Z,SHORT,1000.00,1000.00,0.69405,0.69691,EXIT,SL,-28.60,-28.60,-2.8600,-27.50,4.7650,6
2026-01-27T17:15:00.000000000Z,2026-01-27T17:15:00.000000000Z,SHORT,1000.00,0.00,0.69711,0.69711,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,4.7650,0
2026-01-27T17:15:00.000000000Z,2026-01-27T20:48:00.000000000Z,SHORT,1000.00,1000.00,0.69711,0.69997,EXIT,SL,-28.60,-28.60,-2.8600,-42.30,1.9050,13
2026-01-28T02:15:00.000000000Z,2026-01-28T02:15:00.000000000Z,LONG,1000.00,0.00,0.69902,0.69902,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,1.9050,0
2026-01-28T02:15:00.000000000Z,2026-01-28T06:35:00.000000000Z,LONG,1000.00,450.00,0.69902,0.70096,TP1,TP1,19.40,8.73,0.8730,-5.10,2.7780,16
2026-01-28T02:15:00.000000000Z,2026-01-28T06:35:00.000000000Z,LONG,1000.00,550.00,0.69902,0.70146,RUNNER,RUNNER_STOP,24.40,13.42,1.3420,-5.10,4.1200,16
2026-01-28T06:45:00.000000000Z,2026-01-28T06:45:00.000000000Z,SHORT,1000.00,0.00,0.69992,0.69992,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,4.1200,0
2026-01-28T06:45:00.000000000Z,2026-01-28T12:15:00.000000000Z,SHORT,1000.00,1000.00,0.69992,0.70064,EXIT,FLIP,-7.20,-7.20,-0.7200,-20.80,3.4000,22
2026-01-28T12:15:00.000000000Z,2026-01-28T12:15:00.000000000Z,LONG,1000.00,0.00,0.70064,0.70064,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,3.4000,0
2026-01-28T12:15:00.000000000Z,2026-01-28T15:17:00.000000000Z,LONG,1000.00,1000.00,0.70064,0.69778,EXIT,SL,-28.60,-28.60,-2.8600,-27.70,0.5400,11
