entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars,entry_components
2026-03-02T08:30:00.000000000Z,2026-03-02T08:30:00.000000000Z,LONG,21000.00,0.00,0.70623,0.70623,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T08:30:00.000000000Z,2026-03-02T09:10:00.000000000Z,LONG,21000.00,6300.00,0.70623,0.70816,TP1,TP1,19.30,5.79,12.1590,-2.00,12.1590,1,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T08:30:00.000000000Z,2026-03-02T09:10:00.000000000Z,LONG,21000.00,14700.00,0.70623,0.70836,RUNNER,RUNNER_STOP,21.30,14.91,31.3110,-2.00,43.4700,1,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T11:00:00.000000000Z,2026-03-02T11:00:00.000000000Z,SHORT,21000.00,0.00,0.70809,0.70809,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,43.4700,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T11:00:00.000000000Z,2026-03-02T12:52:00.000000000Z,SHORT,21000.00,6300.00,0.70809,0.70616,TP1,TP1,19.30,5.79,12.1590,-10.10,55.6290,6,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T11:00:00.000000000Z,2026-03-02T12:52:00.000000000Z,SHORT,21000.00,14700.00,0.70809,0.70596,RUNNER,RUNNER_STOP,21.30,14.91,31.3110,-10.10,86.9400,6,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T14:30:00.000000000Z,2026-03-02T14:30:00.000000000Z,LONG,21000.00,0.00,0.70787,0.70787,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,86.9400,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T14:30:00.000000000Z,2026-03-02T19:20:00.000000000Z,LONG,21000.00,6300.00,0.70787,0.70980,TP1,TP1,19.30,5.79,12.1590,-25.30,99.0990,18,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T14:30:00.000000000Z,2026-03-02T19:20:00.000000000Z,LONG,21000.00,14700.00,0.70787,0.71000,RUNNER,RUNNER_STOP,21.30,14.91,31.3110,-25.30,130.4100,18,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T20:00:00.000000000Z,2026-03-02T20:00:00.000000000Z,SHORT,21000.00,0.00,0.70737,0.70737,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,130.4100,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T20:00:00.000000000Z,2026-03-02T22:32:00.000000000Z,SHORT,21000.00,21000.00,0.70737,0.71024,EXIT,SL,-28.70,-28.70,-60.2700,-29.50,70.1400,9,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-03T00:00:00.000000000Z,2026-03-03T00:00:00.000000000Z,SHORT,21000.00,0.00,0.70960,0.70960,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,70.1400,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-03T00:00:00.000000000Z,2026-03-03T06:45:00.000000000Z,SHORT,21000.00,21000.00,0.70960,0.70921,EXIT,FLIP,3.90,3.90,8.1900,-26.80,78.3300,27,cross=1;pullback=0;rejoin=0;continuation=0
