entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-01-28T14:30:00.000000000Z,2026-01-28T14:30:00.000000000Z,LONG,1000.00,0.00,1.19678,1.19678,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-01-28T14:30:00.000000000Z,2026-01-28T15:00:00.000000000Z,LONG,1000.00,1000.00,1.19678,1.19619,EXIT,FLIP,-5.90,-5.90,-0.5900,-12.40,-0.5900,1
2026-01-28T15:00:00.000000000Z,2026-01-28T15:00:00.000000000Z,SHORT,1000.00,0.00,1.19619,1.19619,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.5900,0
2026-01-28T15:00:00.000000000Z,2026-01-28T15:00:00.000000000Z,SHORT,1000.00,300.00,1.19619,1.19427,TP1,TP1,19.20,5.76,0.5760,-8.50,-0.0140,1
2026-01-28T15:00:00.000000000Z,2026-01-28T20:00:00.000000000Z,SHORT,1000.00,700.00,1.19619,1.19414,EXIT,FLIP,20.50,14.35,1.4350,-8.50,1.4210,10
2026-01-28T20:00:00.000000000Z,2026-01-28T20:00:00.000000000Z,LONG,1000.00,0.00,1.19414,1.19414,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,1.4210,0
2026-01-28T20:00:00.000000000Z,2026-01-28T23:00:00.000000000Z,LONG,1000.00,300.00,1.19414,1.19606,TP1,TP1,19.20,5.76,0.5760,-11.90,1.9970,7
2026-01-28T20:00:00.000000000Z,2026-01-29T07:30:00.000000000Z,LONG,1000.00,700.00,1.19414,1.19810,EXIT,FLIP,39.60,27.72,2.7720,-11.90,4.7690,23
2026-01-29T07:30:00.000000000Z,2026-01-29T07:30:00.000000000Z,SHORT,1000.00,0.00,1.19810,1.19810,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,4.7690,0
2026-01-29T07:30:00.000000000Z,2026-01-29T09:30:00.000000000Z,SHORT,1000.00,300.00,1.19810,1.19618,TP1,TP1,19.20,5.76,0.5760,-4.80,5.3450,5
2026-01-29T07:30:00.000000000Z,2026-01-29T12:30:00.000000000Z,SHORT,1000.00,700.00,1.19810,1.19524,EXIT,FLIP,28.60,20.02,2.0020,-4.80,7.3470,10
2026-01-29T12:30:00.000000000Z,2026-01-29T12:30:00.000000000Z,LONG,1000.00,0.00,1.19524,1.19524,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,7.3470,0
2026-01-29T12:30:00.000000000Z,2026-01-29T14:00:00.000000000Z,LONG,1000.00,1000.00,1.19524,1.19556,EXIT,FLIP,3.20,3.20,0.3200,-12.20,7.6670,3
2026-01-29T14:00:00.000000000Z,2026-01-29T14:00:00.000000000Z,SHORT,1000.00,0.00,1.19556,1.19556,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,7.6670,0
2026-01-29T14:00:00.000000000Z,2026-01-29T14:30:00.000000000Z,SHORT,1000.00,1000.00,1.19556,1.19665,EXIT,FLIP,-10.90,-10.90,-1.0900,-14.90,6.5770,1
2026-01-29T14:30:00.000000000Z,2026-01-29T14:30:00.000000000Z,LONG,1000.00,0.00,1.19665,1.19665,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,6.5770,0
2026-01-29T14:30:00.000000000Z,2026-01-29T15:00:00.000000000Z,LONG,1000.00,1000.00,1.19665,1.19377,EXIT,SL,-28.80,-28.80,-2.8800,-60.30,3.6970,2
2026-01-29T17:30:00.000000000Z,2026-01-29T17:30:00.000000000Z,LONG,1000.00,0.00,1.19566,1.19566,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,3.6970,0
2026-01-29T17:30:00.000000000Z,2026-01-29T20:00:00.000000000Z,LONG,1000.00,1000.00,1.19566,1.19505,EXIT,FLIP,-6.10,-6.10,-0.6100,-8.10,3.0870,5
2026-01-29T20:00:00.000000000Z,2026-01-29T20:00:00.000000000Z,SHORT,1000.00,0.00,1.19505,1.19505,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,3.0870,0
2026-01-29T20:00:00.000000000Z,2026-01-29T20:30:00.000000000Z,SHORT,1000.00,1000.00,1.19505,1.19608,EXIT,FLIP,-10.30,-10.30,-1.0300,-10.50,2.0570,1
2026-01-29T20:30:00.000000000Z,2026-01-29T20:30:00.000000000Z,LONG,1000.00,0.00,1.19608,1.19608,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,2.0570,0
2026-01-29T20:30:00.000000000Z,2026-01-30T00:00:00.000000000Z,LONG,1000.00,1000.00,1.19608,1.19666,EXIT,FLIP,5.80,5.80,0.5800,-1.60,2.6370,7
2026-01-30T00:00:00.000000000Z,2026-01-30T00:00:00.000000000Z,SHORT,1000.00,0.00,1.19666,1.19666,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,2.6370,0
