entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-01-28T06:25:00.000000000Z,2026-01-28T06:25:00.000000000Z,SHORT,1000.00,0.00,0.60239,0.60239,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-01-28T06:25:00.000000000Z,2026-01-28T06:30:00.000000000Z,SHORT,1000.00,1000.00,0.60239,0.60303,EXIT,FLIP,-6.30,-6.30,-0.6300,-5.25,-0.6300,1
2026-01-28T06:30:00.000000000Z,2026-01-28T06:30:00.000000000Z,LONG,1000.00,0.00,0.60303,0.60303,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.6300,0
2026-01-28T06:30:00.000000000Z,2026-01-28T06:40:00.000000000Z,LONG,1000.00,1000.00,0.60303,0.60276,EXIT,FLIP,-2.60,-2.60,-0.2600,-1.45,-0.8900,2
2026-01-28T06:40:00.000000000Z,2026-01-28T06:40:00.000000000Z,SHORT,1000.00,0.00,0.60276,0.60276,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.8900,0
2026-01-28T06:40:00.000000000Z,2026-01-28T07:05:00.000000000Z,SHORT,1000.00,1000.00,0.60276,0.60301,EXIT,FLIP,-2.40,-2.40,-0.2400,-1.65,-1.1300,5
2026-01-28T07:05:00.000000000Z,2026-01-28T07:05:00.000000000Z,LONG,1000.00,0.00,0.60301,0.60301,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-1.1300,0
2026-01-28T07:05:00.000000000Z,2026-01-28T07:35:00.000000000Z,LONG,1000.00,1000.00,0.60301,0.60295,EXIT,FLIP,-0.50,-0.50,-0.0500,-1.55,-1.1800,6
2026-01-28T07:35:00.000000000Z,2026-01-28T07:35:00.000000000Z,SHORT,1000.00,0.00,0.60295,0.60295,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-1.1800,0
2026-01-28T07:35:00.000000000Z,2026-01-28T08:10:00.000000000Z,SHORT,1000.00,1000.00,0.60295,0.60358,EXIT,FLIP,-6.20,-6.20,-0.6200,-5.05,-1.8000,7
2026-01-28T08:10:00.000000000Z,2026-01-28T08:10:00.000000000Z,LONG,1000.00,0.00,0.60358,0.60358,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-1.8000,0
2026-01-28T08:10:00.000000000Z,2026-01-28T08:15:00.000000000Z,LONG,1000.00,1000.00,0.60358,0.60297,EXIT,FLIP,-6.00,-6.00,-0.6000,-5.15,-2.4000,1
2026-01-28T08:15:00.000000000Z,2026-01-28T08:15:00.000000000Z,SHORT,1000.00,0.00,0.60297,0.60297,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-2.4000,0
2026-01-28T08:15:00.000000000Z,2026-01-28T08:20:00.000000000Z,SHORT,1000.00,1000.00,0.60297,0.60359,EXIT,FLIP,-6.20,-6.20,-0.6200,-5.55,-3.0200,1
2026-01-28T08:20:00.000000000Z,2026-01-28T08:20:00.000000000Z,LONG,1000.00,0.00,0.60359,0.60359,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.0200,0
2026-01-28T08:20:00.000000000Z,2026-01-28T08:40:00.000000000Z,LONG,1000.00,1000.00,0.60359,0.60338,EXIT,FLIP,-2.10,-2.10,-0.2100,-2.15,-3.2300,4
2026-01-28T08:40:00.000000000Z,2026-01-28T08:40:00.000000000Z,SHORT,1000.00,0.00,0.60338,0.60338,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.2300,0
2026-01-28T08:40:00.000000000Z,2026-01-28T09:05:00.000000000Z,SHORT,1000.00,1000.00,0.60338,0.60292,EXIT,FLIP,4.70,4.70,0.4700,-1.35,-2.7600,5
2026-01-28T09:05:00.000000000Z,2026-01-28T09:05:00.000000000Z,LONG,1000.00,0.00,0.60292,0.60292,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-2.7600,0
2026-01-28T09:05:00.000000000Z,2026-01-28T09:10:00.000000000Z,LONG,1000.00,1000.00,0.60292,0.60238,EXIT,FLIP,-5.30,-5.30,-0.5300,-4.95,-3.2900,1
2026-01-28T09:10:00.000000000Z,2026-01-28T09:10:00.000000000Z,SHORT,1000.00,0.00,0.60238,0.60238,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.2900,0
2026-01-28T09:10:00.000000000Z,2026-01-28T09:30:00.000000000Z,SHORT,1000.00,1000.00,0.60238,0.60263,EXIT,FLIP,-2.40,-2.40,-0.2400,-2.55,-3.5300,4
2026-01-28T09:30:00.000000000Z,2026-01-28T09:30:00.000000000Z,LONG,1000.00,0.00,0.60263,0.60263,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.5300,0
2026-01-28T09:30:00.000000000Z,2026-01-28T09:45:00.000000000Z,LONG,1000.00,1000.00,0.60263,0.60248,EXIT,FLIP,-1.40,-1.40,-0.1400,-2.25,-3.6700,3
2026-01-28T09:45:00.000000000Z,2026-01-28T09:45:00.000000000Z,SHORT,1000.00,0.00,0.60248,0.60248,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.6700,0
2026-01-28T09:45:00.000000000Z,2026-01-28T09:50:00.000000000Z,SHORT,1000.00,1000.00,0.60248,0.60288,EXIT,FLIP,-3.90,-3.90,-0.3900,-3.25,-4.0600,1
2026-01-28T09:50:00.000000000Z,2026-01-28T09:50:00.000000000Z,LONG,1000.00,0.00,0.60288,0.60288,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-4.0600,0
2026-01-28T09:50:00.000000000Z,2026-01-28T10:20:00.000000000Z,LONG,1000.00,1000.00,0.60288,0.60323,EXIT,FLIP,3.50,3.50,0.3500,-1.55,-3.7100,6
2026-01-28T10:20:00.000000000Z,2026-01-28T10:20:00.000000000Z,SHORT,1000.00,0.00,0.60323,0.60323,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.7100,0
2026-01-28T10:20:00.000000000Z,2026-01-28T10:30:00.000000000Z,SHORT,1000.00,1000.00,0.60323,0.60353,EXIT,FLIP,-3.00,-3.00,-0.3000,-4.55,-4.0100,2
2026-01-28T10:30:00.000000000Z,2026-01-28T10:30:00.000000000Z,LONG,1000.00,0.00,0.60353,0.60353,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-4.0100,0
2026-01-28T10:30:00.000000000Z,2026-01-28T11:00:00.000000000Z,LONG,1000.00,1000.00,0.60353,0.60363,EXIT,FLIP,1.10,1.10,0.1100,-1.65,-3.9000,6
2026-01-28T11:00:00.000000000Z,2026-01-28T11:00:00.000000000Z,SHORT,1000.00,0.00,0.60363,0.60363,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.9000,0
2026-01-28T11:00:00.000000000Z,2026-01-28T11:45:00.000000000Z,SHORT,1000.00,1000.00,0.60363,0.60332,EXIT,FLIP,3.20,3.20,0.3200,-1.25,-3.5800,9
2026-01-28T11:45:00.000000000Z,2026-01-28T11:45:00.000000000Z,LONG,1000.00,0.00,0.60332,0.60332,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.5800,0
2026-01-28T11:45:00.000000000Z,2026-01-28T12:00:00.000000000Z,LONG,1000.00,1000.00,0.60332,0.60301,EXIT,FLIP,-3.00,-3.00,-0.3000,-1.75,-3.8800,3
2026-01-28T12:00:00.000000000Z,2026-01-28T12:00:00.000000000Z,SHORT,1000.00,0.00,0.60301,0.60301,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.8800,0
2026-01-28T12:00:00.000000000Z,2026-01-28T12:10:00.000000000Z,SHORT,1000.00,1000.00,0.60301,0.60335,EXIT,FLIP,-3.30,-3.30,-0.3300,-2.15,-4.2100,2
2026-01-28T12:10:00.000000000Z,2026-01-28T12:10:00.000000000Z,LONG,1000.00,0.00,0.60335,0.60335,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-4.2100,0
2026-01-28T12:10:00.000000000Z,2026-01-28T12:40:00.000000000Z,LONG,1000.00,1000.00,0.60335,0.60337,EXIT,FLIP,0.30,0.30,0.0300,-2.45,-4.1800,6
2026-01-28T12:40:00.000000000Z,2026-01-28T12:40:00.000000000Z,SHORT,1000.00,0.00,0.60337,0.60337,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-4.1800,0
2026-01-28T12:40:00.000000000Z,2026-01-28T12:55:00.000000000Z,SHORT,1000.00,1000.00,0.60337,0.60333,EXIT,FLIP,0.50,0.50,0.0500,-1.75,-4.1300,3
2026-01-28T12:55:00.000000000Z,2026-01-28T12:55:00.000000000Z,LONG,1000.00,0.00,0.60333,0.60333,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-4.1300,0
2026-01-28T12:55:00.000000000Z,2026-01-28T13:00:00.000000000Z,LONG,1000.00,1000.00,0.60333,0.60301,EXIT,FLIP,-3.10,-3.10,-0.3100,-4.05,-4.4400,1
2026-01-28T13:00:00.000000000Z,2026-01-28T13:00:00.000000000Z,SHORT,1000.00,0.00,0.60301,0.60301,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-4.4400,0
2026-01-28T13:00:00.000000000Z,2026-01-28T13:35:00.000000000Z,SHORT,1000.00,1000.00,0.60301,0.60284,EXIT,FLIP,1.80,1.80,0.1800,-2.25,-4.2600,7
2026-01-28T13:35:00.000000000Z,2026-01-28T13:35:00.000000000Z,LONG,1000.00,0.00,0.60284,0.60284,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-4.2600,0
2026-01-28T13:35:00.000000000Z,2026-01-28T13:40:00.000000000Z,LONG,1000.00,1000.00,0.60284,0.60250,EXIT,FLIP,-3.40,-3.40,-0.3400,-2.15,-4.6000,1
2026-01-28T13:40:00.000000000Z,2026-01-28T13:40:00.000000000Z,SHORT,1000.00,0.00,0.60250,0.60250,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-4.6000,0
2026-01-28T13:40:00.000000000Z,2026-01-28T13:55:00.000000000Z,SHORT,1000.00,1000.00,0.60250,0.60276,EXIT,FLIP,-2.70,-2.70,-0.2700,-2.85,-4.8700,3
