entry_ts,exit_ts,side,leg,reason,base_units_opened,dynamic_units_opened,scale,base_pnl_usd,compounded_pnl_usd,balance_before,balance_after,liquidated
2026-01-02T07:30:00.000000000Z,2026-01-02T09:30:00.000000000Z,LONG,EXIT,FLIP,21000.0000,23415.4430,1.11502109,10.500000,11.707721,500.000000,511.707721,0
2026-01-02T09:30:00.000000000Z,2026-01-02T12:00:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,23945.8407,1.14027813,11.760000,13.409671,511.707721,525.117392,0
2026-01-02T12:00:00.000000000Z,2026-01-02T16:30:00.000000000Z,LONG,EXIT,FLIP,21000.0000,24593.9170,1.17113891,-18.060000,-21.150769,525.117392,503.966624,0
2026-01-02T16:30:00.000000000Z,2026-01-02T17:15:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,23633.6833,1.12541349,-9.450000,-10.635158,503.966624,493.331466,0
2026-01-02T17:15:00.000000000Z,2026-01-02T21:30:00.000000000Z,LONG,EXIT,FLIP,21000.0000,23119.3815,1.10092293,5.250000,5.779845,493.331466,499.111312,0
2026-01-02T21:30:00.000000000Z,2026-01-05T01:15:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,23381.5090,1.11340519,18.900000,21.043358,499.111312,520.154670,0
2026-01-05T01:15:00.000000000Z,2026-01-05T07:30:00.000000000Z,LONG,EXIT,FLIP,21000.0000,24400.1270,1.16191081,-18.060000,-20.984109,520.154670,499.170560,0
2026-01-05T07:30:00.000000000Z,2026-01-05T14:00:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,23445.9466,1.11647365,-20.580000,-22.977028,499.170560,476.193533,0
2026-01-05T14:00:00.000000000Z,2026-01-05T15:25:00.000000000Z,LONG,TP1,TP1,21000.0000,22333.9276,1.06352036,18.238500,19.397016,476.193533,495.590549,0
2026-01-05T14:00:00.000000000Z,2026-01-05T15:25:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,22333.9276,1.06352036,28.066500,29.849294,495.590549,525.439843,0
2026-01-05T17:45:00.000000000Z,2026-01-05T21:00:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,24543.7519,1.16875009,-13.650000,-15.953439,525.439843,509.486404,0
2026-01-05T21:00:00.000000000Z,2026-01-06T06:57:00.000000000Z,LONG,TP1,TP1,21000.0000,23775.5266,1.13216793,18.238500,20.649045,509.486404,530.135449,0
2026-01-05T21:00:00.000000000Z,2026-01-06T06:57:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,23775.5266,1.13216793,28.066500,31.775991,530.135449,561.911441,0
2026-01-06T09:30:00.000000000Z,2026-01-06T15:00:00.000000000Z,LONG,EXIT,FLIP,21000.0000,26201.3054,1.24768121,5.460000,6.812339,561.911441,568.723780,0
2026-01-06T15:00:00.000000000Z,2026-01-06T16:45:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,26508.7059,1.26231933,-11.760000,-14.844875,568.723780,553.878905,0
2026-01-06T16:45:00.000000000Z,2026-01-06T18:45:00.000000000Z,LONG,EXIT,FLIP,21000.0000,25795.2962,1.22834744,6.930000,8.512448,553.878905,562.391352,0
2026-01-06T18:45:00.000000000Z,2026-01-07T01:15:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,26178.9049,1.24661452,-5.040000,-6.282937,562.391352,556.108415,0
2026-01-07T01:15:00.000000000Z,2026-01-07T03:52:00.000000000Z,LONG,TP1,TP1,21000.0000,25877.2173,1.23224844,18.238500,22.474363,556.108415,578.582778,0
2026-01-07T01:15:00.000000000Z,2026-01-07T03:52:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,25877.2173,1.23224844,28.066500,34.584901,578.582778,613.167679,0
2026-01-07T04:45:00.000000000Z,2026-01-07T07:38:00.000000000Z,SHORT,TP1,TP1,21000.0000,28439.4703,1.35426049,18.238500,24.699680,613.167679,637.867359,0
2026-01-07T04:45:00.000000000Z,2026-01-07T07:38:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,28439.4703,1.35426049,28.066500,38.009352,637.867359,675.876711,0
2026-01-07T08:45:00.000000000Z,2026-01-07T12:00:00.000000000Z,LONG,EXIT,FLIP,21000.0000,31440.5575,1.49716940,-16.380000,-24.523635,675.876711,651.353076,0
