ts,equity
2026-03-02T09:10:00.000000000Z,519.2766
2026-03-02T09:10:00.000000000Z,548.9407
2026-03-02T12:52:00.000000000Z,570.0485
2026-03-02T12:52:00.000000000Z,602.5306
2026-03-02T19:20:00.000000000Z,625.7063
2026-03-02T19:20:00.000000000Z,661.3705
2026-03-02T22:32:00.000000000Z,577.2469
2026-03-03T06:45:00.000000000Z,587.1930
2026-03-03T08:35:00.000000000Z,512.6982
2026-03-03T14:25:00.000000000Z,447.0527
2026-03-03T16:17:00.000000000Z,464.4512
2026-03-03T16:17:00.000000000Z,491.2249
2026-03-04T00:39:00.000000000Z,510.2397
2026-03-04T00:39:00.000000000Z,539.5008
2026-03-04T06:00:00.000000000Z,512.9625
2026-03-04T07:02:00.000000000Z,447.0241
2026-03-04T10:08:00.000000000Z,389.7394
2026-03-04T15:15:00.000000000Z,353.6833
2026-03-04T18:00:00.000000000Z,345.8410
2026-03-05T00:00:00.000000000Z,321.7450
2026-03-05T01:30:00.000000000Z,306.5010
2026-03-05T04:03:00.000000000Z,318.3059
2026-03-05T04:03:00.000000000Z,336.4720
2026-03-05T08:09:00.000000000Z,293.5163
2026-03-05T09:52:00.000000000Z,256.1474
2026-03-05T14:39:00.000000000Z,266.0513
2026-03-05T14:39:00.000000000Z,281.2920
2026-03-05T15:30:00.000000000Z,245.3299
2026-03-05T20:50:00.000000000Z,254.8816
2026-03-05T20:50:00.000000000Z,269.5803
2026-03-06T02:03:00.000000000Z,234.9729
2026-03-06T09:36:00.000000000Z,244.0716
2026-03-06T09:36:00.000000000Z,258.0734
2026-03-06T13:55:00.000000000Z,224.9535
2026-03-06T17:30:00.000000000Z,226.5632
2026-03-06T21:45:00.000000000Z,207.1133
2026-03-08T21:04:00.000000000Z,180.6082
2026-03-09T02:54:00.000000000Z,187.6636
2026-03-09T02:54:00.000000000Z,198.5208
2026-03-09T08:29:00.000000000Z,206.2364
2026-03-09T08:29:00.000000000Z,218.1098
2026-03-09T09:32:00.000000000Z,226.5941
2026-03-09T09:32:00.000000000Z,239.6502
2026-03-09T14:22:00.000000000Z,208.9069
2026-03-09T19:20:00.000000000Z,182.2179
2026-03-10T06:13:00.000000000Z,189.2408
2026-03-10T06:13:00.000000000Z,200.0481
2026-03-10T13:24:00.000000000Z,174.6920
2026-03-10T18:17:00.000000000Z,181.3450
2026-03-10T18:17:00.000000000Z,191.5831
2026-03-11T01:19:00.000000000Z,198.9084
2026-03-11T01:19:00.000000000Z,210.1812
2026-03-11T07:39:00.000000000Z,218.1554
2026-03-11T07:39:00.000000000Z,230.4266
2026-03-11T09:54:00.000000000Z,201.5267
2026-03-11T12:30:00.000000000Z,197.0260
2026-03-11T14:01:00.000000000Z,172.2468
2026-03-11T17:37:00.000000000Z,178.7924
2026-03-11T17:37:00.000000000Z,188.8651
2026-03-11T21:00:00.000000000Z,190.1901
2026-03-11T23:09:00.000000000Z,197.4313
2026-03-11T23:09:00.000000000Z,208.5745
2026-03-12T01:36:00.000000000Z,216.5355
2026-03-12T01:36:00.000000000Z,228.7863
2026-03-12T05:19:00.000000000Z,237.5082
2026-03-12T05:19:00.000000000Z,250.9300
2026-03-12T08:45:00.000000000Z,260.5353
2026-03-12T13:21:00.000000000Z,270.4790
2026-03-12T13:21:00.000000000Z,285.7809
2026-03-13T03:36:00.000000000Z,296.7673
2026-03-13T03:36:00.000000000Z,313.6737
2026-03-13T06:59:00.000000000Z,273.7261
2026-03-13T09:03:00.000000000Z,284.3323
2026-03-13T09:03:00.000000000Z,300.6537
2026-03-13T12:46:00.000000000Z,262.1933
2026-03-13T14:56:00.000000000Z,272.3245
2026-03-13T14:56:00.000000000Z,287.9150
2026-03-13T20:27:00.000000000Z,250.9612
2026-03-16T00:06:00.000000000Z,260.7306
2026-03-16T00:06:00.000000000Z,275.7644
2026-03-16T05:30:00.000000000Z,270.9541
2026-03-16T07:30:00.000000000Z,266.3515
2026-03-16T10:22:00.000000000Z,232.1614
2026-03-16T17:00:00.000000000Z,226.2815
2026-03-16T19:10:00.000000000Z,235.0067
2026-03-16T19:10:00.000000000Z,248.4334
2026-03-16T23:45:00.000000000Z,251.1873
2026-03-17T03:30:00.000000000Z,260.8637
2026-03-17T03:30:00.000000000Z,275.7543
2026-03-17T07:30:00.000000000Z,266.2197
2026-03-17T12:08:00.000000000Z,232.3126
2026-03-17T17:00:00.000000000Z,228.1080
2026-03-18T00:30:00.000000000Z,228.7118
2026-03-18T09:15:00.000000000Z,224.6760
2026-03-18T11:15:00.000000000Z,207.0435
2026-03-18T12:30:00.000000000Z,214.9915
2026-03-18T12:30:00.000000000Z,227.2223
2026-03-18T15:07:00.000000000Z,235.9765
2026-03-18T15:07:00.000000000Z,249.4480
2026-03-18T18:57:00.000000000Z,259.0496
2026-03-18T18:57:00.000000000Z,273.8250
2026-03-19T02:07:00.000000000Z,284.4317
2026-03-19T02:07:00.000000000Z,300.7540
2026-03-19T06:00:00.000000000Z,305.1707
2026-03-19T09:51:00.000000000Z,316.9709
2026-03-19T09:51:00.000000000Z,335.1299
2026-03-19T12:24:00.000000000Z,348.0823
2026-03-19T12:24:00.000000000Z,368.0143
2026-03-19T17:00:00.000000000Z,370.4724
2026-03-19T18:56:00.000000000Z,323.1364
2026-03-20T03:30:00.000000000Z,323.2795
2026-03-20T10:01:00.000000000Z,335.7097
2026-03-20T10:01:00.000000000Z,354.8381
2026-03-20T13:51:00.000000000Z,309.7092
2026-03-20T18:55:00.000000000Z,270.1449
2026-03-23T00:15:00.000000000Z,255.4237
2026-03-23T02:32:00.000000000Z,265.3497
2026-03-23T02:32:00.000000000Z,280.6244
2026-03-23T10:15:00.000000000Z,244.3538
2026-03-23T15:52:00.000000000Z,253.8303
2026-03-23T15:52:00.000000000Z,268.4132
