ts,equity
2026-01-26T10:45:00.000000000Z,0.3200
2026-01-26T13:45:00.000000000Z,0.5800
2026-01-26T14:58:00.000000000Z,1.4530
2026-01-26T14:58:00.000000000Z,2.7950
2026-01-26T22:39:00.000000000Z,3.6680
2026-01-26T22:39:00.000000000Z,5.0100
2026-01-27T03:00:00.000000000Z,5.1900
2026-01-27T09:15:00.000000000Z,5.4100
2026-01-27T12:10:00.000000000Z,6.2830
2026-01-27T12:10:00.000000000Z,7.6250
2026-01-27T15:10:00.000000000Z,4.7650
2026-01-27T20:48:00.000000000Z,1.9050
2026-01-28T06:35:00.000000000Z,2.7780
2026-01-28T06:35:00.000000000Z,4.1200
2026-01-28T12:15:00.000000000Z,3.4000
2026-01-28T15:17:00.000000000Z,0.5400
2026-01-28T19:15:00.000000000Z,-0.7900
2026-01-28T20:03:00.000000000Z,-3.6500
2026-01-29T03:11:00.000000000Z,-2.7770
2026-01-29T03:11:00.000000000Z,-1.4350
2026-01-29T08:47:00.000000000Z,-0.5620
2026-01-29T08:47:00.000000000Z,0.7800
2026-01-29T13:05:00.000000000Z,1.6530
2026-01-29T13:05:00.000000000Z,2.9950
2026-01-29T15:04:00.000000000Z,3.8680
2026-01-29T15:04:00.000000000Z,5.2100
2026-01-29T17:23:00.000000000Z,6.0830
2026-01-29T17:23:00.000000000Z,7.4250
2026-01-30T09:15:00.000000000Z,5.7850
2026-01-30T09:55:00.000000000Z,6.6580
2026-01-30T09:55:00.000000000Z,8.0000
2026-01-30T13:51:00.000000000Z,8.8730
2026-01-30T13:51:00.000000000Z,10.2150
2026-01-30T16:03:00.000000000Z,7.3550
2026-01-30T21:45:00.000000000Z,5.7150
2026-02-01T22:59:00.000000000Z,6.5880
2026-02-01T22:59:00.000000000Z,7.9300
2026-02-02T04:01:00.000000000Z,8.8030
2026-02-02T04:01:00.000000000Z,10.1450
2026-02-02T07:55:00.000000000Z,11.0180
2026-02-02T07:55:00.000000000Z,12.3600
2026-02-02T14:30:00.000000000Z,11.1300
2026-02-03T03:30:00.000000000Z,12.0030
2026-02-03T03:30:00.000000000Z,13.3450
2026-02-03T07:32:00.000000000Z,10.4850
2026-02-03T09:25:00.000000000Z,11.3580
2026-02-03T09:25:00.000000000Z,12.7000
2026-02-03T17:15:00.000000000Z,13.5400
2026-02-03T19:05:00.000000000Z,14.4130
2026-02-03T19:05:00.000000000Z,15.7550
2026-02-04T02:15:00.000000000Z,15.3950
2026-02-04T04:00:00.000000000Z,15.2150
2026-02-04T07:15:00.000000000Z,15.6150
2026-02-04T11:45:00.000000000Z,16.2350
2026-02-04T14:30:00.000000000Z,16.1550
2026-02-04T15:34:00.000000000Z,17.0280
2026-02-04T15:34:00.000000000Z,18.3700
