ts,equity
2026-01-28T15:00:00.000000000Z,-0.5900
2026-01-28T15:00:00.000000000Z,-0.0140
2026-01-28T20:00:00.000000000Z,1.4210
2026-01-28T23:00:00.000000000Z,1.9970
2026-01-29T07:30:00.000000000Z,4.7690
2026-01-29T09:30:00.000000000Z,5.3450
2026-01-29T12:30:00.000000000Z,7.3470
2026-01-29T14:00:00.000000000Z,7.6670
2026-01-29T14:30:00.000000000Z,6.5770
2026-01-29T15:00:00.000000000Z,3.6970
2026-01-29T20:00:00.000000000Z,3.0870
2026-01-29T20:30:00.000000000Z,2.0570
2026-01-30T00:00:00.000000000Z,2.6370
2026-01-30T00:00:00.000000000Z,3.2130
2026-01-30T04:00:00.000000000Z,6.4330
2026-01-30T06:30:00.000000000Z,6.0930
2026-01-30T07:30:00.000000000Z,4.9430
2026-01-30T09:30:00.000000000Z,3.8730
2026-01-30T11:30:00.000000000Z,2.1630
2026-01-30T13:00:00.000000000Z,0.5130
2026-01-30T15:00:00.000000000Z,1.0890
2026-01-30T19:00:00.000000000Z,3.8470
2026-01-30T19:30:00.000000000Z,3.0470
2026-01-30T21:00:00.000000000Z,3.6230
2026-02-02T00:30:00.000000000Z,4.9670
2026-02-02T03:00:00.000000000Z,4.0270
2026-02-02T03:30:00.000000000Z,3.3470
2026-02-02T04:00:00.000000000Z,2.7670
2026-02-02T05:30:00.000000000Z,3.3430
2026-02-02T06:30:00.000000000Z,4.6870
2026-02-02T08:00:00.000000000Z,4.5070
2026-02-02T08:30:00.000000000Z,3.4870
2026-02-02T09:00:00.000000000Z,2.1670
2026-02-02T09:30:00.000000000Z,1.3870
2026-02-02T12:00:00.000000000Z,1.9670
2026-02-02T12:30:00.000000000Z,2.5430
2026-02-02T17:00:00.000000000Z,6.4770
2026-02-02T17:30:00.000000000Z,6.0870
2026-02-02T18:00:00.000000000Z,6.6630
2026-02-02T21:00:00.000000000Z,8.0070
2026-02-02T23:00:00.000000000Z,7.7470
2026-02-02T23:30:00.000000000Z,6.9970
2026-02-03T02:30:00.000000000Z,7.8870
2026-02-03T04:00:00.000000000Z,7.4270
2026-02-03T05:00:00.000000000Z,7.2570
2026-02-03T05:30:00.000000000Z,6.9970
2026-02-03T06:00:00.000000000Z,6.7070
2026-02-03T06:30:00.000000000Z,5.9070
2026-02-03T08:30:00.000000000Z,5.0770
2026-02-03T09:00:00.000000000Z,4.4870
2026-02-03T09:30:00.000000000Z,3.7270
2026-02-03T11:00:00.000000000Z,4.3030
2026-02-03T11:30:00.000000000Z,5.6470
2026-02-03T14:30:00.000000000Z,5.3770
2026-02-03T15:30:00.000000000Z,3.4270
2026-02-03T17:00:00.000000000Z,4.0030
2026-02-03T17:30:00.000000000Z,5.3470
2026-02-03T20:00:00.000000000Z,5.2370
2026-02-03T20:30:00.000000000Z,4.9370
2026-02-03T21:00:00.000000000Z,3.8970
2026-02-03T22:00:00.000000000Z,3.4570
2026-02-03T23:00:00.000000000Z,3.3070
2026-02-03T23:30:00.000000000Z,2.6170
2026-02-04T01:30:00.000000000Z,1.2370
2026-02-04T03:00:00.000000000Z,0.8070
2026-02-04T03:30:00.000000000Z,0.5370
2026-02-04T07:00:00.000000000Z,1.0370
2026-02-04T08:00:00.000000000Z,0.6770
2026-02-04T08:30:00.000000000Z,0.3170
2026-02-04T10:30:00.000000000Z,0.8930
2026-02-04T12:00:00.000000000Z,2.2370
2026-02-04T13:30:00.000000000Z,1.3070
2026-02-04T14:00:00.000000000Z,0.2870
2026-02-04T14:30:00.000000000Z,-1.3530
2026-02-04T15:00:00.000000000Z,-2.2130
2026-02-04T15:30:00.000000000Z,-2.8930
2026-02-04T17:30:00.000000000Z,-2.9830
2026-02-04T18:00:00.000000000Z,-4.2730
2026-02-04T19:00:00.000000000Z,-4.7730
2026-02-04T19:30:00.000000000Z,-5.0730
2026-02-04T20:00:00.000000000Z,-6.1830
2026-02-04T20:30:00.000000000Z,-7.0030
2026-02-04T21:00:00.000000000Z,-7.2930
2026-02-04T23:30:00.000000000Z,-7.4730
2026-02-05T01:00:00.000000000Z,-7.7230
2026-02-05T01:30:00.000000000Z,-7.9730
2026-02-05T02:00:00.000000000Z,-8.1630
2026-02-05T02:30:00.000000000Z,-9.2330
2026-02-05T06:00:00.000000000Z,-8.9330
2026-02-05T06:30:00.000000000Z,-9.3630
2026-02-05T07:00:00.000000000Z,-9.8330
2026-02-05T09:30:00.000000000Z,-10.2730
2026-02-05T10:30:00.000000000Z,-10.7930
2026-02-05T11:00:00.000000000Z,-11.3130
2026-02-05T11:30:00.000000000Z,-11.7330
2026-02-05T13:30:00.000000000Z,-11.1570
2026-02-05T15:30:00.000000000Z,-9.8130
2026-02-05T18:30:00.000000000Z,-10.3430
2026-02-05T21:00:00.000000000Z,-9.7670
2026-02-05T22:00:00.000000000Z,-8.4230
2026-02-06T01:00:00.000000000Z,-9.2430
2026-02-06T07:30:00.000000000Z,-8.3630
2026-02-06T09:00:00.000000000Z,-8.4030
2026-02-06T10:00:00.000000000Z,-8.5830
2026-02-06T11:00:00.000000000Z,-8.7430
2026-02-06T11:30:00.000000000Z,-8.9130
2026-02-06T12:30:00.000000000Z,-9.0630
2026-02-06T14:00:00.000000000Z,-8.4870
2026-02-06T19:30:00.000000000Z,-6.9470
2026-02-06T20:00:00.000000000Z,-7.5170
