ts,equity
2026-01-29T07:00:00.000000000Z,-0.6100
2026-01-29T07:15:00.000000000Z,-1.8900
2026-01-29T08:00:00.000000000Z,-2.6000
2026-01-29T08:15:00.000000000Z,-3.2700
2026-01-29T09:30:00.000000000Z,-3.0600
2026-01-29T09:45:00.000000000Z,-3.8500
2026-01-29T11:15:00.000000000Z,-3.1200
2026-01-29T13:00:00.000000000Z,-2.5575
2026-01-29T13:00:00.000000000Z,-1.2450
2026-01-29T14:45:00.000000000Z,-2.4150
2026-01-29T15:00:00.000000000Z,-1.8525
2026-01-29T15:00:00.000000000Z,-0.5400
2026-01-29T17:15:00.000000000Z,0.0225
2026-01-29T17:15:00.000000000Z,1.3350
2026-01-29T18:00:00.000000000Z,0.6450
2026-01-29T19:45:00.000000000Z,0.4650
2026-01-29T20:15:00.000000000Z,-0.1050
2026-01-29T22:00:00.000000000Z,0.4050
2026-01-29T22:30:00.000000000Z,-0.2650
2026-01-29T22:45:00.000000000Z,-0.8150
2026-01-29T23:30:00.000000000Z,-1.2650
2026-01-29T23:45:00.000000000Z,-1.8350
2026-01-30T00:00:00.000000000Z,-2.4450
2026-01-30T00:15:00.000000000Z,-4.0150
2026-01-30T02:00:00.000000000Z,-3.4525
2026-01-30T02:00:00.000000000Z,-2.1400
2026-01-30T03:30:00.000000000Z,-2.7300
2026-01-30T04:00:00.000000000Z,-3.5200
2026-01-30T04:15:00.000000000Z,-4.1500
2026-01-30T04:45:00.000000000Z,-4.4800
2026-01-30T05:15:00.000000000Z,-4.7400
2026-01-30T05:45:00.000000000Z,-4.9200
2026-01-30T06:15:00.000000000Z,-5.4900
2026-01-30T07:15:00.000000000Z,-5.8100
2026-01-30T08:30:00.000000000Z,-5.5700
2026-01-30T08:45:00.000000000Z,-6.3800
2026-01-30T09:00:00.000000000Z,-7.1500
2026-01-30T10:00:00.000000000Z,-6.8600
2026-01-30T11:45:00.000000000Z,-6.2975
2026-01-30T11:45:00.000000000Z,-4.9850
2026-01-30T13:00:00.000000000Z,-5.8150
2026-01-30T13:15:00.000000000Z,-6.4250
2026-01-30T13:30:00.000000000Z,-6.9350
2026-01-30T13:45:00.000000000Z,-8.3250
2026-01-30T14:00:00.000000000Z,-9.6050
2026-01-30T15:00:00.000000000Z,-10.0050
2026-01-30T15:30:00.000000000Z,-10.7550
2026-01-30T15:45:00.000000000Z,-13.0050
2026-01-30T17:15:00.000000000Z,-12.7350
2026-01-30T17:30:00.000000000Z,-13.6550
2026-01-30T18:15:00.000000000Z,-13.0925
2026-01-30T18:15:00.000000000Z,-11.7800
2026-01-30T19:45:00.000000000Z,-12.1900
2026-02-01T22:00:00.000000000Z,-11.6275
2026-02-01T22:00:00.000000000Z,-10.3150
2026-02-01T23:45:00.000000000Z,-11.3350
2026-02-02T00:00:00.000000000Z,-13.7850
2026-02-02T01:00:00.000000000Z,-15.5550
2026-02-02T01:15:00.000000000Z,-16.5050
2026-02-02T02:00:00.000000000Z,-16.6150
2026-02-02T02:30:00.000000000Z,-17.1450
2026-02-02T02:45:00.000000000Z,-18.4350
2026-02-02T03:15:00.000000000Z,-19.1650
2026-02-02T03:30:00.000000000Z,-19.6550
2026-02-02T04:30:00.000000000Z,-19.8050
2026-02-02T05:00:00.000000000Z,-20.5350
2026-02-02T06:30:00.000000000Z,-19.9725
2026-02-02T06:30:00.000000000Z,-18.6600
2026-02-02T08:45:00.000000000Z,-17.7700
2026-02-02T09:15:00.000000000Z,-18.3300
2026-02-02T10:15:00.000000000Z,-17.9500
2026-02-02T11:00:00.000000000Z,-18.3000
2026-02-02T11:30:00.000000000Z,-18.9100
2026-02-02T12:15:00.000000000Z,-19.2400
2026-02-02T12:30:00.000000000Z,-19.6500
2026-02-02T14:15:00.000000000Z,-19.0875
2026-02-02T14:15:00.000000000Z,-17.7750
2026-02-02T15:30:00.000000000Z,-18.7850
2026-02-02T16:00:00.000000000Z,-19.7750
2026-02-02T17:15:00.000000000Z,-20.1250
2026-02-02T19:30:00.000000000Z,-19.6750
2026-02-02T21:45:00.000000000Z,-20.0050
2026-02-02T22:30:00.000000000Z,-20.4050
2026-02-02T22:45:00.000000000Z,-21.0450
2026-02-02T23:00:00.000000000Z,-21.9950
2026-02-03T02:00:00.000000000Z,-20.9650
2026-02-03T03:15:00.000000000Z,-20.7150
2026-02-03T03:45:00.000000000Z,-20.1525
2026-02-03T03:45:00.000000000Z,-18.8400
2026-02-03T05:45:00.000000000Z,-19.3500
2026-02-03T06:00:00.000000000Z,-20.2000
2026-02-03T08:45:00.000000000Z,-19.4700
2026-02-03T11:00:00.000000000Z,-18.9075
2026-02-03T11:00:00.000000000Z,-17.5950
2026-02-03T11:30:00.000000000Z,-18.0850
2026-02-03T12:00:00.000000000Z,-18.2350
2026-02-03T12:15:00.000000000Z,-18.6050
2026-02-03T12:30:00.000000000Z,-19.4150
2026-02-03T13:15:00.000000000Z,-19.7350
2026-02-03T13:30:00.000000000Z,-20.4950
2026-02-03T14:00:00.000000000Z,-21.6750
2026-02-03T14:30:00.000000000Z,-22.4750
2026-02-03T14:45:00.000000000Z,-23.6850
2026-02-03T15:15:00.000000000Z,-25.1350
2026-02-03T17:00:00.000000000Z,-24.9450
2026-02-03T17:45:00.000000000Z,-25.2150
2026-02-03T18:15:00.000000000Z,-25.7650
2026-02-03T19:00:00.000000000Z,-26.2950
2026-02-03T21:45:00.000000000Z,-26.3650
2026-02-04T00:15:00.000000000Z,-26.3050
2026-02-04T00:45:00.000000000Z,-27.0550
2026-02-04T01:15:00.000000000Z,-27.9950
2026-02-04T01:45:00.000000000Z,-28.5650
2026-02-04T04:00:00.000000000Z,-28.2850
2026-02-04T04:45:00.000000000Z,-28.6950
