entry_ts,exit_ts,entry_hour_utc,entry_dow_utc,side,pnl_usd,pnl_pips_weighted,pnl_pips_raw,dominant_exit_reason,dominant_exit_leg,all_reasons,all_legs,is_winner,is_loser
2026-03-02T20:00:00.000000000Z,2026-03-02T22:32:00.000000000Z,20,0,SHORT,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-03T06:45:00.000000000Z,2026-03-03T08:35:00.000000000Z,6,1,LONG,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-03T11:45:00.000000000Z,2026-03-03T14:25:00.000000000Z,11,1,LONG,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-04T06:00:00.000000000Z,2026-03-04T07:02:00.000000000Z,6,2,SHORT,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-04T08:15:00.000000000Z,2026-03-04T10:08:00.000000000Z,8,2,SHORT,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-05T06:45:00.000000000Z,2026-03-05T08:09:00.000000000Z,6,3,LONG,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-05T09:00:00.000000000Z,2026-03-05T09:52:00.000000000Z,9,3,LONG,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-05T14:45:00.000000000Z,2026-03-05T15:30:00.000000000Z,14,3,LONG,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-05T23:45:00.000000000Z,2026-03-06T02:03:00.000000000Z,23,3,SHORT,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-06T10:45:00.000000000Z,2026-03-06T13:55:00.000000000Z,10,4,LONG,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-06T21:45:00.000000000Z,2026-03-08T21:04:00.000000000Z,21,4,LONG,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-09T11:30:00.000000000Z,2026-03-09T14:22:00.000000000Z,11,0,SHORT,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-09T17:00:00.000000000Z,2026-03-09T19:20:00.000000000Z,17,0,SHORT,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-10T08:00:00.000000000Z,2026-03-10T13:24:00.000000000Z,8,1,SHORT,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-11T08:00:00.000000000Z,2026-03-11T09:54:00.000000000Z,8,2,LONG,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
2026-03-11T12:30:00.000000000Z,2026-03-11T14:01:00.000000000Z,12,2,SHORT,-60.27,-28.7,-28.7,SL,EXIT,SL:1,EXIT:1,0,1
