entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-02-09T07:15:00.000000000Z,2026-02-09T07:15:00.000000000Z,SHORT,7000.00,0.00,0.70328,0.70328,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-02-09T07:15:00.000000000Z,2026-02-09T11:30:00.000000000Z,SHORT,7000.00,7000.00,0.70328,0.70316,EXIT,FLIP,1.20,1.20,0.8400,-12.60,0.8400,17
2026-02-09T11:30:00.000000000Z,2026-02-09T11:30:00.000000000Z,LONG,7000.00,0.00,0.70316,0.70316,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,0.8400,0
2026-02-09T11:30:00.000000000Z,2026-02-09T13:00:00.000000000Z,LONG,7000.00,2800.00,0.70316,0.70516,TP1,TP1,20.00,8.00,5.6000,-1.60,6.4400,6
2026-02-09T11:30:00.000000000Z,2026-02-09T16:15:00.000000000Z,LONG,7000.00,4200.00,0.70316,0.70844,EXIT,FLIP,52.80,31.68,22.1760,-1.60,28.6160,19
2026-02-09T16:15:00.000000000Z,2026-02-09T16:15:00.000000000Z,SHORT,7000.00,0.00,0.70844,0.70844,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,28.6160,0
2026-02-09T16:15:00.000000000Z,2026-02-09T21:45:00.000000000Z,SHORT,7000.00,7000.00,0.70844,0.70939,EXIT,FLIP,-9.50,-9.50,-6.6500,-14.50,21.9660,22
2026-02-09T21:45:00.000000000Z,2026-02-09T21:45:00.000000000Z,LONG,7000.00,0.00,0.70939,0.70939,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,21.9660,0
2026-02-09T21:45:00.000000000Z,2026-02-10T06:15:00.000000000Z,LONG,7000.00,7000.00,0.70939,0.70659,EXIT,SL,-28.00,-28.00,-19.6000,-29.30,2.3660,34
2026-02-10T06:45:00.000000000Z,2026-02-10T06:45:00.000000000Z,LONG,7000.00,0.00,0.70684,0.70684,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,2.3660,0
2026-02-10T06:45:00.000000000Z,2026-02-10T09:45:00.000000000Z,LONG,7000.00,7000.00,0.70684,0.70742,EXIT,FLIP,5.80,5.80,4.0600,-3.80,6.4260,12
2026-02-10T09:45:00.000000000Z,2026-02-10T09:45:00.000000000Z,SHORT,7000.00,0.00,0.70742,0.70742,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,6.4260,0
2026-02-10T09:45:00.000000000Z,2026-02-10T13:45:00.000000000Z,SHORT,7000.00,7000.00,0.70742,0.70748,EXIT,FLIP,-0.60,-0.60,-0.4200,-5.40,6.0060,16
2026-02-10T13:45:00.000000000Z,2026-02-10T13:45:00.000000000Z,LONG,7000.00,0.00,0.70748,0.70748,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,6.0060,0
2026-02-10T13:45:00.000000000Z,2026-02-10T15:00:00.000000000Z,LONG,7000.00,7000.00,0.70748,0.70779,EXIT,FLIP,3.10,3.10,2.1700,-6.20,8.1760,5
2026-02-10T15:00:00.000000000Z,2026-02-10T15:00:00.000000000Z,SHORT,7000.00,0.00,0.70779,0.70779,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,8.1760,0
2026-02-10T15:00:00.000000000Z,2026-02-10T19:00:00.000000000Z,SHORT,7000.00,7000.00,0.70779,0.70722,EXIT,FLIP,5.70,5.70,3.9900,-10.70,12.1660,16
2026-02-10T19:00:00.000000000Z,2026-02-10T19:00:00.000000000Z,LONG,7000.00,0.00,0.70722,0.70722,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,12.1660,0
2026-02-10T19:00:00.000000000Z,2026-02-11T01:30:00.000000000Z,LONG,7000.00,2800.00,0.70722,0.70922,TP1,TP1,20.00,8.00,5.6000,-3.20,17.7660,26
2026-02-10T19:00:00.000000000Z,2026-02-11T11:30:00.000000000Z,LONG,7000.00,4200.00,0.70722,0.71143,EXIT,FLIP,42.10,25.26,17.6820,-3.20,35.4480,66
2026-02-11T11:30:00.000000000Z,2026-02-11T11:30:00.000000000Z,SHORT,7000.00,0.00,0.71143,0.71143,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,35.4480,0
2026-02-11T11:30:00.000000000Z,2026-02-11T13:30:00.000000000Z,SHORT,7000.00,2800.00,0.71143,0.70943,TP1,TP1,20.00,8.00,5.6000,-2.70,41.0480,8
2026-02-11T11:30:00.000000000Z,2026-02-11T13:45:00.000000000Z,SHORT,7000.00,4200.00,0.71143,0.70943,RUNNER,RUNNER_STOP,20.00,12.00,8.4000,-5.50,49.4480,9
2026-02-11T18:45:00.000000000Z,2026-02-11T18:45:00.000000000Z,SHORT,7000.00,0.00,0.71336,0.71336,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,49.4480,0
2026-02-11T18:45:00.000000000Z,2026-02-11T21:45:00.000000000Z,SHORT,7000.00,7000.00,0.71336,0.71274,EXIT,FLIP,6.20,6.20,4.3400,-4.90,53.7880,12
2026-02-11T21:45:00.000000000Z,2026-02-11T21:45:00.000000000Z,LONG,7000.00,0.00,0.71274,0.71274,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,53.7880,0
2026-02-11T21:45:00.000000000Z,2026-02-12T02:15:00.000000000Z,LONG,7000.00,7000.00,0.71274,0.71336,EXIT,FLIP,6.20,6.20,4.3400,-8.20,58.1280,18
2026-02-12T02:15:00.000000000Z,2026-02-12T02:15:00.000000000Z,SHORT,7000.00,0.00,0.71336,0.71336,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,58.1280,0
2026-02-12T02:15:00.000000000Z,2026-02-12T04:45:00.000000000Z,SHORT,7000.00,2800.00,0.71336,0.71136,TP1,TP1,20.00,8.00,5.6000,-7.00,63.7280,10
2026-02-12T02:15:00.000000000Z,2026-02-12T05:00:00.000000000Z,SHORT,7000.00,4200.00,0.71336,0.71136,RUNNER,RUNNER_STOP,20.00,12.00,8.4000,-7.00,72.1280,11
2026-02-12T05:30:00.000000000Z,2026-02-12T05:30:00.000000000Z,LONG,7000.00,0.00,0.71212,0.71212,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,72.1280,0
2026-02-12T05:30:00.000000000Z,2026-02-12T12:15:00.000000000Z,LONG,7000.00,7000.00,0.71212,0.71276,EXIT,FLIP,6.40,6.40,4.4800,-16.20,76.6080,27
2026-02-12T12:15:00.000000000Z,2026-02-12T12:15:00.000000000Z,SHORT,7000.00,0.00,0.71276,0.71276,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,76.6080,0
2026-02-12T12:15:00.000000000Z,2026-02-12T16:00:00.000000000Z,SHORT,7000.00,2800.00,0.71276,0.71076,TP1,TP1,20.00,8.00,5.6000,-17.30,82.2080,15
2026-02-12T12:15:00.000000000Z,2026-02-12T18:30:00.000000000Z,SHORT,7000.00,4200.00,0.71276,0.70882,EXIT,FLIP,39.40,23.64,16.5480,-17.30,98.7560,25
2026-02-12T18:30:00.000000000Z,2026-02-12T18:30:00.000000000Z,LONG,7000.00,0.00,0.70882,0.70882,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,98.7560,0
2026-02-12T18:30:00.000000000Z,2026-02-12T23:30:00.000000000Z,LONG,7000.00,7000.00,0.70882,0.70860,EXIT,FLIP,-2.20,-2.20,-1.5400,-3.80,97.2160,20
2026-02-12T23:30:00.000000000Z,2026-02-12T23:30:00.000000000Z,SHORT,7000.00,0.00,0.70860,0.70860,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,97.2160,0
2026-02-12T23:30:00.000000000Z,2026-02-13T02:45:00.000000000Z,SHORT,7000.00,7000.00,0.70860,0.70900,EXIT,FLIP,-4.00,-4.00,-2.8000,-11.40,94.4160,13
2026-02-13T02:45:00.000000000Z,2026-02-13T02:45:00.000000000Z,LONG,7000.00,0.00,0.70900,0.70900,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,94.4160,0
2026-02-13T02:45:00.000000000Z,2026-02-13T06:15:00.000000000Z,LONG,7000.00,7000.00,0.70900,0.70620,EXIT,SL,-28.00,-28.00,-19.6000,-28.80,74.8160,14
2026-02-13T07:45:00.000000000Z,2026-02-13T07:45:00.000000000Z,LONG,7000.00,0.00,0.70604,0.70604,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,74.8160,0
2026-02-13T07:45:00.000000000Z,2026-02-13T10:00:00.000000000Z,LONG,7000.00,7000.00,0.70604,0.70680,EXIT,FLIP,7.60,7.60,5.3200,-0.20,80.1360,9
2026-02-13T10:00:00.000000000Z,2026-02-13T10:00:00.000000000Z,SHORT,7000.00,0.00,0.70680,0.70680,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,80.1360,0
2026-02-13T10:00:00.000000000Z,2026-02-13T11:30:00.000000000Z,SHORT,7000.00,2800.00,0.70680,0.70480,TP1,TP1,20.00,8.00,5.6000,-2.60,85.7360,6
2026-02-13T10:00:00.000000000Z,2026-02-13T12:15:00.000000000Z,SHORT,7000.00,4200.00,0.70680,0.70480,RUNNER,RUNNER_STOP,20.00,12.00,8.4000,-2.60,94.1360,9
2026-02-13T12:45:00.000000000Z,2026-02-13T12:45:00.000000000Z,LONG,7000.00,0.00,0.70534,0.70534,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,94.1360,0
2026-02-13T12:45:00.000000000Z,2026-02-13T13:30:00.000000000Z,LONG,7000.00,2800.00,0.70534,0.70734,TP1,TP1,20.00,8.00,5.6000,-6.80,99.7360,3
2026-02-13T12:45:00.000000000Z,2026-02-13T14:45:00.000000000Z,LONG,7000.00,4200.00,0.70534,0.70734,RUNNER,RUNNER_STOP,20.00,12.00,8.4000,-6.80,108.1360,8
2026-02-13T15:45:00.000000000Z,2026-02-13T15:45:00.000000000Z,SHORT,7000.00,0.00,0.70608,0.70608,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,108.1360,0
2026-02-13T15:45:00.000000000Z,2026-02-13T21:45:00.000000000Z,SHORT,7000.00,7000.00,0.70608,0.70735,EXIT,FLIP,-12.70,-12.70,-8.8900,-25.30,99.2460,24
2026-02-13T21:45:00.000000000Z,2026-02-13T21:45:00.000000000Z,LONG,7000.00,0.00,0.70735,0.70735,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,99.2460,0
