entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-02-09T07:15:00.000000000Z,2026-02-09T07:15:00.000000000Z,SHORT,7000.00,0.00,0.70328,0.70328,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-02-09T07:15:00.000000000Z,2026-02-09T11:30:00.000000000Z,SHORT,7000.00,7000.00,0.70328,0.70316,EXIT,FLIP,1.20,1.20,0.8400,-12.60,0.8400,17
2026-02-09T11:30:00.000000000Z,2026-02-09T11:30:00.000000000Z,LONG,7000.00,0.00,0.70316,0.70316,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,0.8400,0
2026-02-09T11:30:00.000000000Z,2026-02-09T13:00:00.000000000Z,LONG,7000.00,3500.00,0.70316,0.70516,TP1,TP1,20.00,10.00,7.0000,-1.60,7.8400,6
2026-02-09T11:30:00.000000000Z,2026-02-09T16:15:00.000000000Z,LONG,7000.00,3500.00,0.70316,0.70844,EXIT,FLIP,52.80,26.40,18.4800,-1.60,26.3200,19
2026-02-09T16:15:00.000000000Z,2026-02-09T16:15:00.000000000Z,SHORT,7000.00,0.00,0.70844,0.70844,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,26.3200,0
2026-02-09T16:15:00.000000000Z,2026-02-09T21:45:00.000000000Z,SHORT,7000.00,7000.00,0.70844,0.70939,EXIT,FLIP,-9.50,-9.50,-6.6500,-14.50,19.6700,22
2026-02-09T21:45:00.000000000Z,2026-02-09T21:45:00.000000000Z,LONG,7000.00,0.00,0.70939,0.70939,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,19.6700,0
2026-02-09T21:45:00.000000000Z,2026-02-10T06:15:00.000000000Z,LONG,7000.00,7000.00,0.70939,0.70659,EXIT,SL,-28.00,-28.00,-19.6000,-29.30,0.0700,34
2026-02-10T06:45:00.000000000Z,2026-02-10T06:45:00.000000000Z,LONG,7000.00,0.00,0.70684,0.70684,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0700,0
2026-02-10T06:45:00.000000000Z,2026-02-10T09:45:00.000000000Z,LONG,7000.00,7000.00,0.70684,0.70742,EXIT,FLIP,5.80,5.80,4.0600,-3.80,4.1300,12
2026-02-10T09:45:00.000000000Z,2026-02-10T09:45:00.000000000Z,SHORT,7000.00,0.00,0.70742,0.70742,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,4.1300,0
2026-02-10T09:45:00.000000000Z,2026-02-10T13:45:00.000000000Z,SHORT,7000.00,7000.00,0.70742,0.70748,EXIT,FLIP,-0.60,-0.60,-0.4200,-5.40,3.7100,16
2026-02-10T13:45:00.000000000Z,2026-02-10T13:45:00.000000000Z,LONG,7000.00,0.00,0.70748,0.70748,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,3.7100,0
2026-02-10T13:45:00.000000000Z,2026-02-11T01:30:00.000000000Z,LONG,7000.00,3500.00,0.70748,0.70948,TP1,TP1,20.00,10.00,7.0000,-8.40,10.7100,47
2026-02-10T13:45:00.000000000Z,2026-02-11T11:30:00.000000000Z,LONG,7000.00,3500.00,0.70748,0.71143,EXIT,FLIP,39.50,19.75,13.8250,-8.40,24.5350,87
2026-02-11T11:30:00.000000000Z,2026-02-11T11:30:00.000000000Z,SHORT,7000.00,0.00,0.71143,0.71143,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,24.5350,0
2026-02-11T11:30:00.000000000Z,2026-02-11T13:30:00.000000000Z,SHORT,7000.00,3500.00,0.71143,0.70943,TP1,TP1,20.00,10.00,7.0000,-2.70,31.5350,8
2026-02-11T11:30:00.000000000Z,2026-02-11T13:45:00.000000000Z,SHORT,7000.00,3500.00,0.71143,0.70943,RUNNER,RUNNER_STOP,20.00,10.00,7.0000,-5.50,38.5350,9
2026-02-11T18:45:00.000000000Z,2026-02-11T18:45:00.000000000Z,SHORT,7000.00,0.00,0.71336,0.71336,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,38.5350,0
2026-02-11T18:45:00.000000000Z,2026-02-11T21:45:00.000000000Z,SHORT,7000.00,7000.00,0.71336,0.71274,EXIT,FLIP,6.20,6.20,4.3400,-4.90,42.8750,12
2026-02-11T21:45:00.000000000Z,2026-02-11T21:45:00.000000000Z,LONG,7000.00,0.00,0.71274,0.71274,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,42.8750,0
2026-02-11T21:45:00.000000000Z,2026-02-12T02:15:00.000000000Z,LONG,7000.00,7000.00,0.71274,0.71336,EXIT,FLIP,6.20,6.20,4.3400,-8.20,47.2150,18
2026-02-12T02:15:00.000000000Z,2026-02-12T02:15:00.000000000Z,SHORT,7000.00,0.00,0.71336,0.71336,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,47.2150,0
2026-02-12T02:15:00.000000000Z,2026-02-12T04:45:00.000000000Z,SHORT,7000.00,3500.00,0.71336,0.71136,TP1,TP1,20.00,10.00,7.0000,-7.00,54.2150,10
2026-02-12T02:15:00.000000000Z,2026-02-12T05:00:00.000000000Z,SHORT,7000.00,3500.00,0.71336,0.71136,RUNNER,RUNNER_STOP,20.00,10.00,7.0000,-7.00,61.2150,11
2026-02-12T05:30:00.000000000Z,2026-02-12T05:30:00.000000000Z,LONG,7000.00,0.00,0.71212,0.71212,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,61.2150,0
2026-02-12T05:30:00.000000000Z,2026-02-12T12:15:00.000000000Z,LONG,7000.00,7000.00,0.71212,0.71276,EXIT,FLIP,6.40,6.40,4.4800,-16.20,65.6950,27
2026-02-12T12:15:00.000000000Z,2026-02-12T12:15:00.000000000Z,SHORT,7000.00,0.00,0.71276,0.71276,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,65.6950,0
2026-02-12T12:15:00.000000000Z,2026-02-12T16:00:00.000000000Z,SHORT,7000.00,3500.00,0.71276,0.71076,TP1,TP1,20.00,10.00,7.0000,-17.30,72.6950,15
2026-02-12T12:15:00.000000000Z,2026-02-12T18:30:00.000000000Z,SHORT,7000.00,3500.00,0.71276,0.70882,EXIT,FLIP,39.40,19.70,13.7900,-17.30,86.4850,25
2026-02-12T18:30:00.000000000Z,2026-02-12T18:30:00.000000000Z,LONG,7000.00,0.00,0.70882,0.70882,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,86.4850,0
2026-02-12T18:30:00.000000000Z,2026-02-12T23:30:00.000000000Z,LONG,7000.00,7000.00,0.70882,0.70860,EXIT,FLIP,-2.20,-2.20,-1.5400,-3.80,84.9450,20
2026-02-12T23:30:00.000000000Z,2026-02-12T23:30:00.000000000Z,SHORT,7000.00,0.00,0.70860,0.70860,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,84.9450,0
2026-02-12T23:30:00.000000000Z,2026-02-13T02:45:00.000000000Z,SHORT,7000.00,7000.00,0.70860,0.70900,EXIT,FLIP,-4.00,-4.00,-2.8000,-11.40,82.1450,13
2026-02-13T02:45:00.000000000Z,2026-02-13T02:45:00.000000000Z,LONG,7000.00,0.00,0.70900,0.70900,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,82.1450,0
2026-02-13T02:45:00.000000000Z,2026-02-13T06:15:00.000000000Z,LONG,7000.00,7000.00,0.70900,0.70620,EXIT,SL,-28.00,-28.00,-19.6000,-28.80,62.5450,14
2026-02-13T07:45:00.000000000Z,2026-02-13T07:45:00.000000000Z,LONG,7000.00,0.00,0.70604,0.70604,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,62.5450,0
2026-02-13T07:45:00.000000000Z,2026-02-13T10:00:00.000000000Z,LONG,7000.00,7000.00,0.70604,0.70680,EXIT,FLIP,7.60,7.60,5.3200,-0.20,67.8650,9
2026-02-13T10:00:00.000000000Z,2026-02-13T10:00:00.000000000Z,SHORT,7000.00,0.00,0.70680,0.70680,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,67.8650,0
2026-02-13T10:00:00.000000000Z,2026-02-13T11:30:00.000000000Z,SHORT,7000.00,3500.00,0.70680,0.70480,TP1,TP1,20.00,10.00,7.0000,-2.60,74.8650,6
2026-02-13T10:00:00.000000000Z,2026-02-13T12:15:00.000000000Z,SHORT,7000.00,3500.00,0.70680,0.70480,RUNNER,RUNNER_STOP,20.00,10.00,7.0000,-2.60,81.8650,9
2026-02-13T12:45:00.000000000Z,2026-02-13T12:45:00.000000000Z,LONG,7000.00,0.00,0.70534,0.70534,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,81.8650,0
2026-02-13T12:45:00.000000000Z,2026-02-13T13:30:00.000000000Z,LONG,7000.00,3500.00,0.70534,0.70734,TP1,TP1,20.00,10.00,7.0000,-6.80,88.8650,3
2026-02-13T12:45:00.000000000Z,2026-02-13T14:45:00.000000000Z,LONG,7000.00,3500.00,0.70534,0.70734,RUNNER,RUNNER_STOP,20.00,10.00,7.0000,-6.80,95.8650,8
2026-02-13T16:45:00.000000000Z,2026-02-13T16:45:00.000000000Z,LONG,7000.00,0.00,0.70668,0.70668,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,95.8650,0
2026-02-13T16:45:00.000000000Z,2026-02-13T19:15:00.000000000Z,LONG,7000.00,7000.00,0.70668,0.70792,EXIT,FLIP,12.40,12.40,8.6800,-0.70,104.5450,10
2026-02-13T19:15:00.000000000Z,2026-02-13T19:15:00.000000000Z,SHORT,7000.00,0.00,0.70792,0.70792,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,104.5450,0
2026-02-13T19:15:00.000000000Z,2026-02-13T21:45:00.000000000Z,SHORT,7000.00,7000.00,0.70792,0.70735,EXIT,FLIP,5.70,5.70,3.9900,-3.00,108.5350,10
2026-02-13T21:45:00.000000000Z,2026-02-13T21:45:00.000000000Z,LONG,7000.00,0.00,0.70735,0.70735,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,108.5350,0
