rank,case_id,tp1_close_pct,min_hold_bars,block_session_enabled,block_session,from,to,total_trades,win_rate,profit_factor,total_pnl_usd,max_drawdown_pips,num_stopouts,runner_pnl_usd,tp1_hit_pct,worst_day_pnl_usd,best_day_pnl_usd,positive_days_pct,sharpe,score
1,tp1_40_hold_3_open,40,3,False,,2026-01-17,2026-02-16,155.0,66.45161290322581,1.2416196974191085,114.02999999997688,134.4000000000078,15.0,291.8159999999979,30.252100840336134,-29.68,67.55000000000001,37.5,1.0778391273360257,1.0534367120287502
2,tp1_50_hold_3_open,50,3,False,,2026-01-17,2026-02-16,155.0,66.45161290322581,1.2416196974191085,114.02999999997688,134.4000000000078,15.0,243.17999999999856,30.252100840336134,-29.68,67.55000000000001,37.5,1.0842647905596414,1.0534367120287502
3,tp1_30_hold_3_open,30,3,False,,2026-01-17,2026-02-16,155.0,66.45161290322581,1.2416196974191085,114.02999999997685,134.4000000000078,15.0,340.4519999999977,30.252100840336134,-29.68,67.55,37.5,1.0592266168202755,1.0534367120287498
4,tp1_40_hold_3_block,40,3,True,1400-1600,2026-01-17,2026-02-16,142.0,67.6056338028169,1.2799107854069867,122.98999999997885,150.7000000000069,14.0,283.709999999998,32.71028037383177,-42.84,54.04000000000001,54.166666666666664,1.190556604486782,1.0445668712486464
5,tp1_50_hold_3_block,50,3,True,1400-1600,2026-01-17,2026-02-16,142.0,67.6056338028169,1.2799107854069867,122.98999999997885,150.7000000000069,14.0,236.4249999999986,32.71028037383177,-42.84,54.040000000000006,54.166666666666664,1.19779942288692,1.0445668712486464
6,tp1_30_hold_3_block,30,3,True,1400-1600,2026-01-17,2026-02-16,142.0,67.6056338028169,1.2799107854069867,122.98999999997882,150.70000000000687,14.0,330.9949999999978,32.71028037383177,-42.84,54.04,54.166666666666664,1.1695918836877344,1.0445668712486462
7,tp1_40_hold_5_block,40,5,True,1400-1600,2026-01-17,2026-02-16,138.0,68.11594202898551,1.2236306729263917,100.02999999997765,139.9000000000072,15.0,275.60399999999805,32.69230769230769,-42.84,54.04000000000001,58.333333333333336,0.9558393259810136,0.8749090508419822
8,tp1_50_hold_5_block,50,5,True,1400-1600,2026-01-17,2026-02-16,138.0,68.11594202898551,1.2236306729263917,100.02999999997765,139.9000000000072,15.0,229.66999999999862,32.69230769230769,-42.84,54.040000000000006,58.333333333333336,0.9613420797348631,0.8749090508419822
9,tp1_30_hold_5_block,30,5,True,1400-1600,2026-01-17,2026-02-16,138.0,68.11594202898551,1.2236306729263915,100.02999999997762,139.90000000000717,15.0,321.53799999999785,32.69230769230769,-42.84,54.04,58.333333333333336,0.9398812587560026,0.874909050841982
10,tp1_40_hold_5_open,40,5,False,,2026-01-17,2026-02-16,149.0,66.44295302013423,1.1561687373590905,75.66999999997583,123.60000000000811,16.0,283.709999999998,30.701754385964914,-29.68,67.55000000000001,37.5,0.7060248230429607,0.7078259575722387
11,tp1_50_hold_5_open,50,5,False,,2026-01-17,2026-02-16,149.0,66.44295302013423,1.1561687373590905,75.66999999997583,123.60000000000811,16.0,236.4249999999986,30.701754385964914,-29.68,67.55000000000001,37.5,0.7100112323804768,0.7078259575722387
12,tp1_30_hold_5_open,30,5,False,,2026-01-17,2026-02-16,149.0,66.44295302013423,1.1561687373590905,75.6699999999758,123.6000000000081,16.0,330.9949999999978,30.701754385964914,-29.68,67.55,37.5,0.6944567758533227,0.7078259575722384
