rank,case_id,trail_drawdown_pct,be_lock_pips,tp1_close_pct,min_hold_bars,block_session_enabled,block_session,from,to,total_trades,win_rate,profit_factor,total_pnl_usd,max_drawdown_pips,num_stopouts,runner_pnl_usd,tp1_hit_pct,worst_day_pnl_usd,best_day_pnl_usd,positive_days_pct,sharpe,score
1,trail_1p0_be_25,1.0,25,40,3,False,,2026-01-17,2026-02-16,155.0,66.45161290322581,1.401809552061626,189.62999999996856,121.00000000000665,15.0,367.4159999999898,30.252100840336134,-27.58,78.05,50.0,1.7004001244741058,2.1969020277470035
2,trail_1p5_be_25,1.5,25,40,3,False,,2026-01-17,2026-02-16,155.0,66.45161290322581,1.401809552061626,189.62999999996856,121.00000000000665,15.0,367.4159999999898,30.252100840336134,-27.58,78.05,50.0,1.7004001244741058,2.1969020277470035
3,trail_2p0_be_25,2.0,25,40,3,False,,2026-01-17,2026-02-16,155.0,66.45161290322581,1.401809552061626,189.62999999996856,121.00000000000665,15.0,367.4159999999898,30.252100840336134,-27.58,78.05,50.0,1.7004001244741058,2.1969020277470035
4,trail_1p0_be_10,1.0,10,40,3,False,,2026-01-17,2026-02-16,151.0,66.88741721854305,1.3093212386611837,138.44599999997612,135.0800000000074,14.0,62.49599999999908,31.30434782608696,-33.879999999999995,89.26400000000001,45.83333333333333,1.2698376524349058,1.341947647376703
5,trail_1p5_be_10,1.5,10,40,3,False,,2026-01-17,2026-02-16,151.0,66.88741721854305,1.3093212386611837,138.44599999997612,135.0800000000074,14.0,62.49599999999908,31.30434782608696,-33.879999999999995,89.26400000000001,45.83333333333333,1.2698376524349058,1.341947647376703
6,trail_2p0_be_10,2.0,10,40,3,False,,2026-01-17,2026-02-16,151.0,66.88741721854305,1.3093212386611837,138.44599999997612,135.0800000000074,14.0,62.49599999999908,31.30434782608696,-33.879999999999995,89.26400000000001,45.83333333333333,1.2698376524349058,1.341947647376703
7,trail_1p0_be_20,1.0,20,40,3,False,,2026-01-17,2026-02-16,155.0,66.45161290322581,1.2416196974191085,114.02999999997688,134.4000000000078,15.0,291.8159999999979,30.252100840336134,-29.68,67.55000000000001,37.5,1.0778391273360257,1.0534367120287502
8,trail_2p0_be_20,2.0,20,40,3,False,,2026-01-17,2026-02-16,155.0,66.45161290322581,1.2416196974191085,114.02999999997688,134.4000000000078,15.0,291.8159999999979,30.252100840336134,-29.68,67.55000000000001,37.5,1.0778391273360257,1.0534367120287502
9,trail_1p5_be_20,1.5,20,40,3,False,,2026-01-17,2026-02-16,155.0,66.45161290322581,1.2416196974191085,114.02999999997688,134.4000000000078,15.0,291.8159999999979,30.252100840336134,-29.68,67.55000000000001,37.5,1.0778391273360257,1.0534367120287502
10,trail_1p0_be_15,1.0,15,40,3,False,,2026-01-17,2026-02-16,154.0,66.23376623376623,1.2000593295757258,94.41599999997041,135.7400000000084,15.0,162.16199999999228,30.508474576271187,-31.78,67.67599999999999,45.83333333333333,0.8785978060922429,0.834719328578011
11,trail_1p5_be_15,1.5,15,40,3,False,,2026-01-17,2026-02-16,154.0,66.23376623376623,1.2000593295757258,94.41599999997041,135.7400000000084,15.0,162.16199999999228,30.508474576271187,-31.78,67.67599999999999,45.83333333333333,0.8785978060922429,0.834719328578011
12,trail_2p0_be_15,2.0,15,40,3,False,,2026-01-17,2026-02-16,154.0,66.23376623376623,1.2000593295757258,94.41599999997041,135.7400000000084,15.0,162.16199999999228,30.508474576271187,-31.78,67.67599999999999,45.83333333333333,0.8785978060922429,0.834719328578011
