entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-01-19T06:30:00.000000000Z,2026-01-19T06:30:00.000000000Z,SHORT,7000.00,0.00,0.66931,0.66931,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-01-19T06:30:00.000000000Z,2026-01-19T15:45:00.000000000Z,SHORT,7000.00,7000.00,0.66931,0.67121,EXIT,FLIP,-19.00,-19.00,-13.3000,-21.10,-13.3000,37
2026-01-19T15:45:00.000000000Z,2026-01-19T15:45:00.000000000Z,LONG,7000.00,0.00,0.67121,0.67121,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-13.3000,0
2026-01-19T15:45:00.000000000Z,2026-01-19T17:15:00.000000000Z,LONG,7000.00,7000.00,0.67121,0.67133,EXIT,FLIP,1.20,1.20,0.8400,-2.10,-12.4600,6
2026-01-19T17:15:00.000000000Z,2026-01-19T17:15:00.000000000Z,SHORT,7000.00,0.00,0.67133,0.67133,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-12.4600,0
2026-01-19T17:15:00.000000000Z,2026-01-19T20:15:00.000000000Z,SHORT,7000.00,7000.00,0.67133,0.67153,EXIT,FLIP,-2.00,-2.00,-1.4000,-4.10,-13.8600,12
2026-01-19T20:15:00.000000000Z,2026-01-19T20:15:00.000000000Z,LONG,7000.00,0.00,0.67153,0.67153,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-13.8600,0
2026-01-19T20:15:00.000000000Z,2026-01-20T04:50:00.000000000Z,LONG,7000.00,2800.00,0.67153,0.67346,TP1,TP1,19.30,7.72,5.4040,-8.50,-8.4560,33
2026-01-19T20:15:00.000000000Z,2026-01-20T05:45:00.000000000Z,LONG,7000.00,4200.00,0.67153,0.67353,EXIT,FLIP,20.00,12.00,8.4000,-8.50,-0.0560,38
2026-01-20T05:45:00.000000000Z,2026-01-20T05:45:00.000000000Z,SHORT,7000.00,0.00,0.67353,0.67353,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.0560,0
2026-01-20T05:45:00.000000000Z,2026-01-20T10:30:00.000000000Z,SHORT,7000.00,7000.00,0.67353,0.67325,EXIT,FLIP,2.80,2.80,1.9600,-12.10,1.9040,19
2026-01-20T10:30:00.000000000Z,2026-01-20T10:30:00.000000000Z,LONG,7000.00,0.00,0.67325,0.67325,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,1.9040,0
2026-01-20T10:30:00.000000000Z,2026-01-20T17:30:00.000000000Z,LONG,7000.00,7000.00,0.67325,0.67405,EXIT,FLIP,8.00,8.00,5.6000,-7.20,7.5040,28
2026-01-20T17:30:00.000000000Z,2026-01-20T17:30:00.000000000Z,SHORT,7000.00,0.00,0.67405,0.67405,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,7.5040,0
2026-01-20T17:30:00.000000000Z,2026-01-20T20:30:00.000000000Z,SHORT,7000.00,7000.00,0.67405,0.67349,EXIT,FLIP,5.60,5.60,3.9200,-2.30,11.4240,12
2026-01-20T20:30:00.000000000Z,2026-01-20T20:30:00.000000000Z,LONG,7000.00,0.00,0.67349,0.67349,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,11.4240,0
2026-01-20T20:30:00.000000000Z,2026-01-20T22:45:00.000000000Z,LONG,7000.00,7000.00,0.67349,0.67331,EXIT,FLIP,-1.80,-1.80,-1.2600,-3.10,10.1640,9
2026-01-20T22:45:00.000000000Z,2026-01-20T22:45:00.000000000Z,SHORT,7000.00,0.00,0.67331,0.67331,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,10.1640,0
2026-01-20T22:45:00.000000000Z,2026-01-21T01:00:00.000000000Z,SHORT,7000.00,7000.00,0.67331,0.67351,EXIT,FLIP,-2.00,-2.00,-1.4000,-2.10,8.7640,9
