ts,equity
2025-12-01T17:15:00.000000000Z,-6.0900
2025-12-02T03:15:00.000000000Z,-11.6900
2025-12-02T11:00:00.000000000Z,-14.2100
2025-12-02T14:30:00.000000000Z,-8.7500
2025-12-02T18:45:00.000000000Z,-8.4700
2025-12-03T00:30:00.000000000Z,-3.8500
2025-12-03T02:30:00.000000000Z,-11.9000
2025-12-03T05:30:00.000000000Z,-9.9400
2025-12-03T08:45:00.000000000Z,-13.0200
2025-12-03T12:45:00.000000000Z,-9.3100
2025-12-03T15:15:00.000000000Z,-13.6500
2025-12-03T21:00:00.000000000Z,-9.5200
2025-12-04T11:45:00.000000000Z,-17.8500
2025-12-04T13:30:00.000000000Z,-21.9100
2025-12-05T00:00:00.000000000Z,-23.7300
2025-12-05T03:15:00.000000000Z,-22.0500
2025-12-05T12:59:00.000000000Z,-42.1400
2025-12-08T00:00:00.000000000Z,-37.6600
2025-12-08T03:00:00.000000000Z,-33.1800
2025-12-08T08:45:00.000000000Z,-30.5200
2025-12-08T11:45:00.000000000Z,-35.5600
2025-12-08T12:30:00.000000000Z,-38.0800
2025-12-08T13:45:00.000000000Z,-38.3600
2025-12-08T15:50:00.000000000Z,-28.2275
2025-12-08T15:50:00.000000000Z,-24.8500
2025-12-08T20:15:00.000000000Z,-25.3400
2025-12-09T02:45:00.000000000Z,-29.7500
2025-12-09T03:30:00.000000000Z,-38.8500
2025-12-09T04:33:00.000000000Z,-58.9400
2025-12-09T12:30:00.000000000Z,-59.6400
2025-12-09T17:00:00.000000000Z,-54.4600
2025-12-09T19:15:00.000000000Z,-51.3100
2025-12-09T23:45:00.000000000Z,-52.9900
2025-12-10T02:30:00.000000000Z,-49.6300
2025-12-10T07:30:00.000000000Z,-40.5300
2025-12-10T11:45:00.000000000Z,-41.1600
2025-12-10T18:30:00.000000000Z,-46.4100
2025-12-10T19:35:00.000000000Z,-66.5000
2025-12-11T01:15:00.000000000Z,-64.6800
2025-12-11T03:13:00.000000000Z,-84.7700
2025-12-11T14:06:00.000000000Z,-104.8600
2025-12-11T21:00:00.000000000Z,-109.7600
2025-12-11T23:45:00.000000000Z,-112.7000
2025-12-12T05:15:00.000000000Z,-114.8000
2025-12-12T09:15:00.000000000Z,-113.1200
2025-12-12T11:45:00.000000000Z,-113.2600
2025-12-12T15:00:00.000000000Z,-122.2200
2025-12-12T16:40:00.000000000Z,-112.0875
2025-12-12T16:40:00.000000000Z,-108.7100
2025-12-12T21:15:00.000000000Z,-105.2800
2025-12-15T05:30:00.000000000Z,-101.4300
2025-12-15T07:30:00.000000000Z,-101.7100
2025-12-15T11:15:00.000000000Z,-103.0400
2025-12-15T13:45:00.000000000Z,-101.5700
2025-12-15T18:45:00.000000000Z,-93.2400
2025-12-15T23:45:00.000000000Z,-91.0700
2025-12-16T01:48:00.000000000Z,-80.9375
2025-12-16T01:48:00.000000000Z,-77.5600
2025-12-16T05:15:00.000000000Z,-74.0600
2025-12-16T11:30:00.000000000Z,-77.0000
2025-12-16T13:31:00.000000000Z,-66.8675
2025-12-16T13:31:00.000000000Z,-63.4900
2025-12-16T19:25:00.000000000Z,-53.3575
2025-12-16T19:25:00.000000000Z,-49.9800
2025-12-17T09:30:00.000000000Z,-63.9800
2025-12-17T12:00:00.000000000Z,-66.5000
2025-12-17T13:15:00.000000000Z,-69.0200
2025-12-17T19:00:00.000000000Z,-59.5000
2025-12-17T21:15:00.000000000Z,-59.2900
2025-12-18T01:45:00.000000000Z,-56.4200
2025-12-18T07:45:00.000000000Z,-51.2400
2025-12-18T18:00:00.000000000Z,-58.1000
2025-12-19T01:15:00.000000000Z,-60.0600
2025-12-19T03:30:00.000000000Z,-58.6600
2025-12-19T10:15:00.000000000Z,-63.1400
2025-12-22T07:25:00.000000000Z,-83.2300
2025-12-22T12:30:00.000000000Z,-88.3400
2025-12-22T23:45:00.000000000Z,-80.0100
2025-12-23T04:30:00.000000000Z,-88.9000
2025-12-23T09:05:00.000000000Z,-78.7675
2025-12-23T09:05:00.000000000Z,-75.3900
2025-12-23T15:15:00.000000000Z,-70.7000
2025-12-24T01:41:00.000000000Z,-60.5675
2025-12-24T01:41:00.000000000Z,-57.1900
2025-12-24T09:45:00.000000000Z,-61.3900
2025-12-26T00:45:00.000000000Z,-64.8200
2025-12-26T05:45:00.000000000Z,-65.8700
2025-12-26T12:15:00.000000000Z,-71.1900
2025-12-29T06:45:00.000000000Z,-80.3600
2025-12-29T12:23:00.000000000Z,-100.4500
2025-12-29T15:00:00.000000000Z,-103.9500
2025-12-29T18:15:00.000000000Z,-107.4500
2025-12-29T21:30:00.000000000Z,-108.1500
2025-12-30T01:15:00.000000000Z,-111.7200
2025-12-30T02:15:00.000000000Z,-111.9300
2025-12-30T09:00:00.000000000Z,-120.8900
2025-12-30T18:30:00.000000000Z,-128.0300
2025-12-30T21:30:00.000000000Z,-125.6500
2025-12-31T01:00:00.000000000Z,-124.8100
2025-12-31T06:30:00.000000000Z,-119.3500
2025-12-31T13:00:00.000000000Z,-124.9500
2025-12-31T15:49:00.000000000Z,-114.8175
2025-12-31T15:49:00.000000000Z,-111.4400
2025-12-31T20:15:00.000000000Z,-112.5600
