entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-02-02T06:45:00.000000000Z,2026-02-02T06:45:00.000000000Z,LONG,7000.00,0.00,0.69241,0.69241,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-02-02T06:45:00.000000000Z,2026-02-02T07:55:00.000000000Z,LONG,7000.00,5250.00,0.69241,0.69434,TP1,TP1,19.30,14.47,10.1325,-1.50,10.1325,3
2026-02-02T06:45:00.000000000Z,2026-02-02T07:55:00.000000000Z,LONG,7000.00,1750.00,0.69241,0.69434,RUNNER,RUNNER_STOP,19.30,4.82,3.3775,-1.50,13.5100,3
2026-02-02T10:30:00.000000000Z,2026-02-02T10:30:00.000000000Z,SHORT,7000.00,0.00,0.69496,0.69496,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,13.5100,0
2026-02-02T10:30:00.000000000Z,2026-02-02T14:30:00.000000000Z,SHORT,7000.00,7000.00,0.69496,0.69621,EXIT,FLIP,-12.50,-12.50,-8.7500,-21.10,4.7600,16
2026-02-02T14:30:00.000000000Z,2026-02-02T14:30:00.000000000Z,LONG,7000.00,0.00,0.69621,0.69621,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,4.7600,0
2026-02-02T14:30:00.000000000Z,2026-02-03T02:00:00.000000000Z,LONG,7000.00,7000.00,0.69621,0.69693,EXIT,FLIP,7.20,7.20,5.0400,-26.40,9.8000,46
2026-02-03T02:00:00.000000000Z,2026-02-03T02:00:00.000000000Z,SHORT,7000.00,0.00,0.69693,0.69693,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,9.8000,0
2026-02-03T02:00:00.000000000Z,2026-02-03T03:33:00.000000000Z,SHORT,7000.00,7000.00,0.69693,0.69980,EXIT,SL,-28.70,-28.70,-20.0900,-31.90,-10.2900,5
2026-02-03T05:00:00.000000000Z,2026-02-03T05:00:00.000000000Z,SHORT,7000.00,0.00,0.70049,0.70049,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-10.2900,0
2026-02-03T05:00:00.000000000Z,2026-02-03T07:32:00.000000000Z,SHORT,7000.00,7000.00,0.70049,0.70336,EXIT,SL,-28.70,-28.70,-20.0900,-30.60,-30.3800,9
2026-02-03T08:45:00.000000000Z,2026-02-03T08:45:00.000000000Z,SHORT,7000.00,0.00,0.70293,0.70293,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-30.3800,0
2026-02-03T08:45:00.000000000Z,2026-02-03T09:25:00.000000000Z,SHORT,7000.00,5250.00,0.70293,0.70100,TP1,TP1,19.30,14.47,10.1325,-3.00,-20.2475,1
2026-02-03T08:45:00.000000000Z,2026-02-03T09:25:00.000000000Z,SHORT,7000.00,1750.00,0.70293,0.70100,RUNNER,RUNNER_STOP,19.30,4.82,3.3775,-3.00,-16.8700,1
2026-02-03T12:00:00.000000000Z,2026-02-03T12:00:00.000000000Z,LONG,7000.00,0.00,0.70059,0.70059,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-16.8700,0
2026-02-03T12:00:00.000000000Z,2026-02-03T17:15:00.000000000Z,LONG,7000.00,7000.00,0.70059,0.70141,EXIT,FLIP,8.20,8.20,5.7400,-25.10,-11.1300,21
